label,rel_l2_raw,tke_raw,mvpe_raw,f17_rel,f18_rel,f19_rel,f20_rel,f20_over_mean_f1_f17,f20_over_f18,f19_over_f18,windows,trajectories,mean_fluctuation
colleague_backbone,0.0979706197977066,0.7003257870674133,0.08762361109256744,0.11009646199974377,0.11308499102662592,0.11556954168954672,0.1168886060764092,1.2465216664611474,1.0336350121731692,1.021970649158347,640,16,"{'mean_field_rel_l2': 0.05679595599742421, 'fluctuation_rel_l2': 0.890756818000557, 'tke_field_rel_l2': 0.7003257763840104, 'pred_tke_mean': 9.795475944495013e-05, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.4530953859938352}"
current80,0.08042024075984955,0.4491623044013977,0.07111713290214539,0.09317769152616773,0.09521082316835498,0.09758311836155945,0.10008766384805408,1.3301162077908242,1.0512214947567011,1.0249162344601275,640,16,"{'mean_field_rel_l2': 0.04404965828226194, 'fluctuation_rel_l2': 0.7444642544134853, 'tke_field_rel_l2': 0.44916229651307643, 'pred_tke_mean': 0.0001447202899558873, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.6694120429702404}"
strong_backbone,0.10641368478536606,0.43120115995407104,0.08538012206554413,0.116277072021672,0.12770868652420808,0.14265868679536195,0.17960524339469405,1.884932601702172,1.4063666950379965,1.1170632999057586,640,16,"{'mean_field_rel_l2': 0.06189406486957233, 'fluctuation_rel_l2': 0.9506246782880702, 'tke_field_rel_l2': 0.43120116389713303, 'pred_tke_mean': 0.00017549266128586566, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.8117514202981785}"
arm_b,0.08103739470243454,0.43327370285987854,0.06964518129825592,0.09259392834866072,0.0957660582945133,0.10084940078763407,0.11558336719191616,1.5539964041219432,1.2069345783916245,1.0530808366100624,640,16,"{'mean_field_rel_l2': 0.04369755898518406, 'fluctuation_rel_l2': 0.7497393300531099, 'tke_field_rel_l2': 0.4332737425942465, 'pred_tke_mean': 0.0001527422429138973, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.7065180487685254}"
