experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
residual,1,0.039408970407472675,0.005284135759442529,0.6461824687712784,1.17010928912053,0.05781902435542999,491,12
residual,2,0.04998016283272797,0.006622602916362699,0.686029457381823,1.0978587708471237,0.07399291154299571,491,12
residual,3,0.05854686730500945,0.007712561891371774,0.6903025625017523,0.9730886985191725,0.08747292976569965,491,12
residual,4,0.06602154349289832,0.00865270588197974,0.7011587648437917,0.8348700684969674,0.09860148619607038,491,12
residual,5,0.0697518598229474,0.009112824934485944,0.7196492916888015,0.7629689409637496,0.10313410044545415,491,12
residual,6,0.072839744778906,0.009489132458407733,0.7396892394297999,0.7103439708551952,0.10760699828389146,491,12
residual,7,0.07570405264068161,0.009826049948972715,0.7604108143408659,0.6642187330341062,0.11147878392538227,491,12
residual,8,0.07824698749960077,0.010117768107597735,0.7781641691596962,0.6193739773286047,0.1144961112070755,491,12
residual,9,0.08010281180329475,0.010304880926000253,0.7902073338452551,0.5809029399443935,0.11632751472307166,491,12
residual,10,0.08190600178778966,0.010490810661864806,0.8004847627001318,0.5543281266138904,0.11792692197391329,491,12
residual,11,0.08373548762359087,0.010688428091837567,0.7999781055399449,0.5416814218301087,0.119322050867535,491,12
residual,12,0.08558266900151652,0.010898110848735008,0.793473448513943,0.5453559064850159,0.12067165540537358,491,12
residual,13,0.08748722474125302,0.011133082129805714,0.7885403447411986,0.5602188625072143,0.12199239469591333,491,12
residual,14,0.08938586266419378,0.011367812939547028,0.7794856919376205,0.573919427964812,0.12497844657035768,491,12
residual,15,0.091311058962256,0.011609845212531987,0.7740700604552146,0.5844743308535993,0.12573892804957812,491,12
residual,16,0.09287825025955238,0.011800450363876783,0.7677969585604474,0.5924235463037782,0.12636617117359267,491,12
residual,17,0.09456689586444084,0.012007454501740927,0.7709278019091667,0.5911298545672681,0.12754156483605406,491,12
residual,18,0.09598279688991755,0.012154858688034316,0.7703540196579651,0.5760668045048492,0.1280484194534913,491,12
residual,19,0.09766472921139151,0.0123613530306082,0.7752908355622407,0.5608775512388426,0.12936336965699904,491,12
residual,20,0.09930867861044947,0.012537727491839125,0.7837106066494935,0.5473169263662504,0.1322624832897808,491,12
