experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
residual,10125_0.h5,29,0.042219314724206924,0.45370203256607056,0.030548257753252983
residual,11400_15.h5,42,0.08349539339542389,0.47530198097229004,0.07703990489244461
residual,13950_5.h5,42,0.05043284222483635,0.5424200296401978,0.035811007022857666
residual,20325_20.h5,42,0.10589790344238281,0.46506962180137634,0.09454463422298431
residual,20325_5.h5,42,0.05062790587544441,0.5600943565368652,0.034609079360961914
residual,22875_15.h5,42,0.108600914478302,0.5324383974075317,0.07920777797698975
residual,25425_15.h5,42,0.13196495175361633,0.5733281373977661,0.09381309151649475
residual,26700_0.h5,42,0.06756264716386795,0.6824040412902832,0.036729417741298676
residual,3750_0.h5,42,0.049080949276685715,0.36502036452293396,0.04880437254905701
residual,3750_20.h5,42,0.11504028737545013,0.5872921943664551,0.11930877715349197
residual,8850_20.h5,42,0.11059330403804779,0.5281839370727539,0.10817762464284897
residual,8850_5.h5,42,0.04897066578269005,0.4914044737815857,0.034455787390470505
