trajectory_id,base_tke,candidate_tke,tke_degradation
10125_0.h5,0.5863174796104431,0.2823461592197418,-0.5184415115726445
11400_10.h5,0.5538232326507568,0.2634246349334717,-0.5243525020201016
11400_15.h5,0.5414901971817017,0.21428978443145752,-0.6042591619446238
13950_5.h5,0.5968359112739563,0.3782150149345398,-0.3662998358673937
16500_10.h5,0.5667106509208679,0.31532591581344604,-0.44358568997942427
20325_20.h5,0.4782743453979492,0.21090386807918549,-0.5590316099775277
20325_5.h5,0.613259494304657,0.4436297118663788,-0.27660359768357534
22875_15.h5,0.5526434779167175,0.32799670100212097,-0.40649493912683154
24150_10.h5,0.5397065281867981,0.37983351945877075,-0.2962221140165524
25425_15.h5,0.5800222754478455,0.3923470079898834,-0.32356562049803117
26700_0.h5,0.6248105764389038,0.5322010517120361,-0.14822016178838382
3750_0.h5,0.6089262366294861,0.227992981672287,-0.6255819375853005
3750_20.h5,0.49927660822868347,0.24269504845142365,-0.5139066312110057
8850_10.h5,0.5735921263694763,0.2651253342628479,-0.5377807294166572
8850_20.h5,0.5334737300872803,0.24314887821674347,-0.5442158357507829
8850_5.h5,0.645738959312439,0.35904914140701294,-0.44397169130182834
