model,floor,mult,sps,coverage,mean_width_uv,rel_l2,tke,mvpe
base,0.0025,1,37.6446847949729,0.8329504482170093,0.027631133794784546,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.005,1,37.193746068115566,0.8996397562054106,0.032631125301122665,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0,1.5,36.671215682841776,0.8786796490827216,0.03394661098718643,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0075,0.5,36.636163383043105,0.8162466198176562,0.026315532624721527,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0025,1.5,36.575567725228105,0.9449123953058595,0.0389467291533947,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.005,0.5,36.5494109237021,0.7423261306958934,0.021315548568964005,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0,2,35.42434577286946,0.9585225254234907,0.04526214301586151,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0075,1,35.10597604856876,0.9316530086089619,0.03763113543391228,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.005,1.5,34.257370591824085,0.9670078918608617,0.04394669830799103,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0025,2,33.360140267003274,0.9809364657760568,0.050262197852134705,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0,2.5,32.5477292754659,0.9851646059246161,0.05657772719860077,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0,1,32.50408171561262,0.6742828752382972,0.022631071507930756,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0025,0.5,32.44571285149409,0.603925932679428,0.016315562650561333,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0075,1.5,31.63589396096303,0.9772573574236337,0.04894666746258736,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.005,2,30.748784729954988,0.9880050364340985,0.05526226758956909,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0025,2.5,30.06644330236935,0.9924860117706583,0.061577826738357544,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0,3,29.55141586354935,0.9940497007979614,0.06789322197437286,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0075,2,28.22409097932543,0.9915033657731688,0.060262177139520645,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.005,2.5,27.58475255722479,0.9950154554108852,0.06657785922288895,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0025,3,27.13216961642855,0.9966201575438839,0.07289332151412964,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0075,2.5,25.273907358221848,0.9963879422046034,0.07157786190509796,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.005,3,24.856328178763295,0.9976726761955773,0.0778934583067894,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0,4,24.420301313261174,0.9985634495404286,0.09052428603172302,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0075,3,22.759233701301646,0.9982721143551679,0.08289331197738647,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0025,4,22.361876266114976,0.9990461723525196,0.09552450478076935,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.005,4,20.470005270866967,0.9992974625968097,0.10052439570426941,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0,0.5,20.036863869552,0.3524093438360392,0.011315535753965378,0.12998665869235992,0.6650677919387817,0.1606314480304718
base,0.0075,4,18.735849335538575,0.9994542846830284,0.105524443089962,0.12998665869235992,0.6650677919387817,0.1606314480304718
corrected,0.0025,1,44.14526358662874,0.8553125608579076,0.02336014248430729,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.005,0.5,43.59159038286129,0.8024178492661456,0.019180070608854294,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.005,1,43.08536218750664,0.9127965998384442,0.02836015820503235,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0025,1.5,42.811117492266796,0.941647249470795,0.032540250569581985,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0,1.5,42.71578940574594,0.8699326309785769,0.027540206909179688,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0075,0.5,42.67419194576714,0.8618750079564601,0.024180075153708458,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0,2,41.98475906859862,0.9486737770606676,0.036720309406518936,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0075,1,40.47711137241994,0.9400541241159986,0.03336010128259659,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0025,0.5,40.4651208538733,0.6810398616488488,0.014180079102516174,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.005,1.5,40.124533765701706,0.9648901448205515,0.0375402495265007,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0025,2,39.76043581600245,0.976732694539621,0.04172031208872795,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0,2.5,39.39714195500201,0.9798414920712046,0.04590035602450371,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0,1,38.482440737118424,0.6974348866993901,0.018360154703259468,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0075,1.5,37.07009673801214,0.9757276983564559,0.042540233582258224,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.005,2,36.70201252171929,0.9855339092691225,0.04672028496861458,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0025,2.5,36.50089345596738,0.990112813437665,0.05090044438838959,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0,3,36.429217318354816,0.9915051373086232,0.055080413818359375,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0075,2,33.7050459910933,0.989751193613211,0.05172043666243553,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.005,2.5,33.512323654698164,0.9935238843559783,0.05590039864182472,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0025,3,33.48829297257829,0.9953427156872224,0.060080427676439285,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0,4,31.030163962447073,0.9979175600732823,0.07344061881303787,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0075,2.5,30.712488583595032,0.9952907849793075,0.06090036779642105,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.005,3,30.68830234226535,0.9967967549095942,0.06508050113916397,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0025,4,28.41945982065034,0.9986289345544953,0.07844056189060211,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0075,3,28.102468872693347,0.9976054402453057,0.07008032500743866,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.005,4,26.016639365138953,0.9989897922067189,0.0834406241774559,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0,0.5,25.075240820008283,0.39827911398013793,0.009180077351629734,0.09917600452899933,0.5496014952659607,0.09375764429569244
corrected,0.0075,4,23.81318444786831,0.9992090094195836,0.08844055980443954,0.09917600452899933,0.5496014952659607,0.09375764429569244
