trajectory_id,path,windows,base_rel_l2,base_tke,base_mvpe,gate_rel_l2,gate_tke,gate_mvpe
10125_0.h5,/data/p0ab_real_h5_20260830/10125_0.h5,29,0.06721258163452148,0.20170924067497253,0.030516356229782104,0.0985068827867508,0.5863174796104431,0.10699984431266785
11400_10.h5,/data/p0ab_real_h5_20260830/11400_10.h5,42,0.09770671278238297,0.21248163282871246,0.04662218317389488,0.11726599931716919,0.5538232326507568,0.12346424907445908
11400_15.h5,/data/p0ab_real_h5_20260830/11400_15.h5,42,0.11589784920215607,0.20893175899982452,0.04590770974755287,0.13066096603870392,0.5414901971817017,0.13427546620368958
13950_5.h5,/data/p0ab_real_h5_20260830/13950_5.h5,42,0.06812959164381027,0.3214229643344879,0.029075704514980316,0.09481881558895111,0.5968359112739563,0.11389248073101044
16500_10.h5,/data/p0ab_real_h5_20260830/16500_10.h5,42,0.09954548627138138,0.24040134251117706,0.042923081666231155,0.11569780856370926,0.5667106509208679,0.12065053731203079
20325_20.h5,/data/p0ab_real_h5_20260830/20325_20.h5,42,0.1391632854938507,0.1524142324924469,0.05092431232333183,0.14958961308002472,0.4782743453979492,0.17484870553016663
20325_5.h5,/data/p0ab_real_h5_20260830/20325_5.h5,42,0.06531598418951035,0.2819175124168396,0.031596966087818146,0.08805825561285019,0.613259494304657,0.11162109673023224
22875_15.h5,/data/p0ab_real_h5_20260830/22875_15.h5,42,0.14216628670692444,0.188695028424263,0.05056222528219223,0.14368389546871185,0.5526434779167175,0.15591129660606384
24150_10.h5,/data/p0ab_real_h5_20260830/24150_10.h5,42,0.13499456644058228,0.24053393304347992,0.03940512239933014,0.140207901597023,0.5397065281867981,0.12366830557584763
25425_15.h5,/data/p0ab_real_h5_20260830/25425_15.h5,42,0.17300672829151154,0.2485729306936264,0.05955957993865013,0.1691061407327652,0.5800222754478455,0.1498570442199707
26700_0.h5,/data/p0ab_real_h5_20260830/26700_0.h5,42,0.08856040984392166,0.32912102341651917,0.02797156572341919,0.09900572896003723,0.6248105764389038,0.1046811044216156
3750_0.h5,/data/p0ab_real_h5_20260830/3750_0.h5,42,0.09786675870418549,0.22679145634174347,0.059887856245040894,0.13686971366405487,0.6089262366294861,0.15858140587806702
3750_20.h5,/data/p0ab_real_h5_20260830/3750_20.h5,42,0.1733977496623993,0.29331129789352417,0.0922076627612114,0.19698306918144226,0.49927660822868347,0.19102168083190918
8850_10.h5,/data/p0ab_real_h5_20260830/8850_10.h5,42,0.10409356653690338,0.2549063265323639,0.0500953234732151,0.12287399172782898,0.5735921263694763,0.11886711418628693
8850_20.h5,/data/p0ab_real_h5_20260830/8850_20.h5,42,0.15344402194023132,0.2876223027706146,0.06232661008834839,0.16796289384365082,0.5334737300872803,0.1681918203830719
8850_5.h5,/data/p0ab_real_h5_20260830/8850_5.h5,42,0.07368624210357666,0.305680513381958,0.03489795699715614,0.10045984387397766,0.645738959312439,0.12023895978927612
