step,label,rel_l2_raw,tke_raw,mvpe_raw,f17_rel,f18_rel,f19_rel,f20_rel,f20_over_mean_f1_f17,f20_over_f18,f19_over_f18,windows,trajectories,mean_fluctuation
0,control_step_00000,0.10641368478536606,0.43120115995407104,0.08538012206554413,0.116277072021672,0.12770868652420808,0.14265868679536195,0.17960524339469405,1.884932601702172,1.4063666950379965,1.1170632999057586,640,16,"{'mean_field_rel_l2': 0.06189406486957233, 'fluctuation_rel_l2': 0.9506246782880702, 'tke_field_rel_l2': 0.43120116389713303, 'pred_tke_mean': 0.00017549266128586566, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.8117514202981785}"
1000,control_step_01000,0.10409975051879883,0.4160831570625305,0.08145429193973541,0.11318790258407005,0.12681359155448024,0.14429285552387486,0.18304423754715748,1.9964812357856345,1.4434118244219907,1.1378343106218656,640,16,"{'mean_field_rel_l2': 0.05628775303568936, 'fluctuation_rel_l2': 0.9619242548673652, 'tke_field_rel_l2': 0.4160830982425902, 'pred_tke_mean': 0.00019736004251877593, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.912900252642237}"
2000,control_step_02000,0.10454531759023666,0.42288893461227417,0.08053424209356308,0.11438572564882146,0.12531730739762453,0.14254061908286383,0.18173989681612449,1.9616488199385218,1.4502378050581182,1.1374376137095792,640,16,"{'mean_field_rel_l2': 0.05728342754937179, 'fluctuation_rel_l2': 0.9628954380906289, 'tke_field_rel_l2': 0.42288894416942496, 'pred_tke_mean': 0.0001843027480342095, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.8525029843722387}"
3000,control_step_03000,0.10160084813833237,0.4181504249572754,0.0781131163239479,0.11143170962975828,0.122939567924335,0.141558417585793,0.176759360939893,1.9729855276140134,1.4377743791053683,1.1514471701488105,640,16,"{'mean_field_rel_l2': 0.053070190388370256, 'fluctuation_rel_l2': 0.9523384117131204, 'tke_field_rel_l2': 0.4181504139125911, 'pred_tke_mean': 0.00018721173473254356, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.8659586700214217}"
4000,control_step_04000,0.10237858444452286,0.4179481565952301,0.08138407766819,0.11213274410791416,0.12143996632821212,0.13786519701636765,0.177697252957413,1.9543511177223818,1.4632518299383914,1.135253913392594,640,16,"{'mean_field_rel_l2': 0.054713569572867035, 'fluctuation_rel_l2': 0.9513378262705668, 'tke_field_rel_l2': 0.41794816709032984, 'pred_tke_mean': 0.00019288007057346584, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.8921778841804716}"
5000,control_step_05000,0.10138615220785141,0.4188014566898346,0.07759760320186615,0.11081157421209094,0.12185847484650451,0.13884414553891847,0.17830723673669657,1.993512730190328,1.4632321384400724,1.1393885055086195,640,16,"{'mean_field_rel_l2': 0.052884648373192567, 'fluctuation_rel_l2': 0.9518601905267652, 'tke_field_rel_l2': 0.41880143849319296, 'pred_tke_mean': 0.00018516282719464278, 'target_tke_mean': 0.00021619014996167473, 'tke_energy_ratio': 0.8564813301043903}"
