experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
residual_22k,10125_0.h5,29,0.03979063779115677,0.4305524230003357,0.027810825034976006
residual_22k,11400_15.h5,42,0.0808921754360199,0.4444790780544281,0.07228843122720718
residual_22k,13950_5.h5,42,0.048984624445438385,0.5237027406692505,0.03443392366170883
residual_22k,20325_20.h5,42,0.10281914472579956,0.44804731011390686,0.09153037518262863
residual_22k,20325_5.h5,42,0.049105364829301834,0.53843754529953,0.03264172747731209
residual_22k,22875_15.h5,42,0.10916271805763245,0.511684775352478,0.07847963273525238
residual_22k,25425_15.h5,42,0.13367493450641632,0.5382146239280701,0.09434343129396439
residual_22k,26700_0.h5,42,0.06731424480676651,0.6192393898963928,0.03654935956001282
residual_22k,3750_0.h5,42,0.047510046511888504,0.35155361890792847,0.04592103883624077
residual_22k,3750_20.h5,42,0.108209528028965,0.5522412061691284,0.11139442026615143
residual_22k,8850_20.h5,42,0.10673440992832184,0.5200365781784058,0.1006445661187172
residual_22k,8850_5.h5,42,0.04585326835513115,0.46975576877593994,0.0327179953455925
