experiment,trajectory,window_start,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2
residual_22k,10125_0.h5,0,1,0.02512698377699582,0.002275191620736801,0.8216080308837719,1.3063482737082883,0.040560668081066974
residual_22k,10125_0.h5,0,2,0.02971234677945408,0.002691795677916346,0.6798225880738146,1.1537729878566096,0.03649440975425674
residual_22k,10125_0.h5,0,3,0.034785448225635084,0.0031514943924879817,0.697006944588971,0.9695885040331523,0.047973880077146897
residual_22k,10125_0.h5,0,4,0.037576355636486446,0.003403652153617415,0.7448035265063871,0.8933082058026927,0.047702684220287755
residual_22k,10125_0.h5,0,5,0.03819671386202936,0.0034618470259718376,0.8315543663401382,0.9194717850422023,0.04132924855083238
residual_22k,10125_0.h5,0,6,0.03867999934877055,0.003505219836906495,0.8901779743846138,1.0073325986074129,0.03845315430128446
residual_22k,10125_0.h5,0,7,0.0383432150776078,0.0034798049539653967,0.9479776898523539,1.0750060638914338,0.04833165873287234
residual_22k,10125_0.h5,0,8,0.039578261546165935,0.003594825620788964,0.945899344183942,1.0624334309760566,0.056778882120503166
residual_22k,10125_0.h5,0,9,0.03954048162762355,0.003595898005810286,0.9561184466646404,1.058790221814159,0.06281798359802619
residual_22k,10125_0.h5,0,10,0.040774667961980406,0.0037120677920267115,0.9718873871364111,1.0657695398943163,0.06541414725243758
residual_22k,10125_0.h5,0,11,0.040083140684887664,0.003649804144374578,0.9170461394745433,1.1165263160274295,0.06446955630164981
residual_22k,10125_0.h5,0,12,0.04181268729748625,0.003811551018319083,0.9256977273366043,1.0767483991508415,0.07252266929994111
residual_22k,10125_0.h5,0,13,0.04189646620863515,0.003820074144254049,0.9531122416510468,1.0717183861533053,0.06080034601913463
residual_22k,10125_0.h5,0,14,0.04275743729578864,0.003900658126344006,0.939019672569831,1.0207753492120644,0.05266756431541318
residual_22k,10125_0.h5,0,15,0.04274535964798623,0.0039040340017036023,0.8441261106604702,0.9887134738015259,0.05083388580428666
residual_22k,10125_0.h5,0,16,0.043090598628924025,0.003939953514719233,0.8534783463950673,0.9547770377253356,0.04751529465293135
residual_22k,10125_0.h5,0,17,0.04485778884602697,0.004104753693416797,0.9163040021315995,0.9133931112466442,0.05019910080589653
residual_22k,10125_0.h5,0,18,0.0470120871765917,0.0043047786013514265,0.8802372991806514,0.801243162110359,0.0641590909464546
residual_22k,10125_0.h5,0,19,0.0485004314992213,0.00444137577973939,0.8715530843379669,0.7151161468600997,0.06702555915487618
residual_22k,10125_0.h5,0,20,0.04980652786154814,0.0045628455534112,0.9474796108729027,0.7756689436436071,0.06464953867805832
residual_22k,10125_0.h5,20,1,0.021120654292297963,0.001936562036869267,0.590849474998447,0.9859081133221199,0.032174002147684753
residual_22k,10125_0.h5,20,2,0.029580737807163006,0.002716246516442564,0.7077373401679538,0.8259086098117562,0.04718738654515939
residual_22k,10125_0.h5,20,3,0.031532890688745034,0.002898610909945797,0.6604447799193879,0.7244896840431271,0.058266765595707815
residual_22k,10125_0.h5,20,4,0.034251315048516015,0.00315084700425866,0.7431008048060963,0.618373855571198,0.06796680714119631
residual_22k,10125_0.h5,20,5,0.03722469793509897,0.0034282508311271474,0.8748157708207462,0.5395394315407614,0.0831948067768519
residual_22k,10125_0.h5,20,6,0.035661468231844094,0.003287151760660268,0.7945146166882648,0.5515567397868575,0.07161909312969487
residual_22k,10125_0.h5,20,7,0.037196979253188045,0.0034320948849540216,0.7984248823057398,0.5307734667458904,0.05758468312836535
residual_22k,10125_0.h5,20,8,0.03797607251571431,0.0035064147069358742,0.7494286779346448,0.5457707479305348,0.05638959539335437
