update,rel_l2,tke,mvpe,point_score
0,0.10122271152232183,0.4707621576344166,0.07291065991046229,90.870683304965
1000,0.08635271785215545,0.5077943704764372,0.07018828926164118,90.74066441912169
2000,0.08357968665431813,0.5180265966597982,0.06910174684466266,90.69207670370407
3000,0.08385056997753695,0.5076176921121943,0.06901684312373703,90.7991382294792
4000,0.08317509275347056,0.5085478100902923,0.06891314099616772,90.80126942201946
5000,0.08157057189164482,0.5104627764637747,0.06698150911544831,90.83577875712756
6000,0.08137338637334508,0.5097905933978358,0.06653246932991168,90.85293349679368
7000,0.08118629989701716,0.5031570970647933,0.06665026364646959,90.92436644207022
8000,0.08116515202337758,0.5062452392034278,0.06656773682767166,90.89316350091717
9000,0.08059280904393089,0.5032165414689758,0.0661669661216969,90.94041697585112
10000,0.08082122229752861,0.5003674006025077,0.0663003382517704,90.96516436712818
11000,0.08047253852463546,0.5016582725975518,0.06617703457228279,90.9587012496453
12000,0.08034521134953392,0.5023533273374476,0.06561635492289868,90.96201849057678
13000,0.08005852976058991,0.49930596788643333,0.06525589200969627,91.00455188172221
14000,0.07998485429223831,0.5008676425988222,0.06489608584013587,90.99465521132254
15000,0.08001831422755286,0.5023846325223654,0.06571916832214945,90.96511522625684
16000,0.07986210854136046,0.49797857171891907,0.06480344468367319,91.0288263242608
17000,0.07974634345340147,0.4967133858053359,0.06467114228095154,91.04620346719406
18000,0.07976667531396124,0.49655321804909014,0.06449200932217226,91.05040485198857
19000,0.0795366314909366,0.49601261873109276,0.06441840062073438,91.06088582746429
20000,0.07941814158453232,0.49702362616047596,0.06409246312139476,91.05699777286692
21000,0.07933034187907356,0.4979522670116541,0.06415087312399248,91.04751212115103
22000,0.07935818101140972,0.4973859573333181,0.06416741213827658,91.05287600551225
