absolute_update,model,rel_l2,tke,mvpe,mean_t_neural_s,elapsed_seconds
1500,A1_at_zero_local,0.1936749517917633,0.6337860226631165,0.16517816483974457,,
2000,A1,0.17483365535736084,0.5988649129867554,0.16172076761722565,0.024942833570541237,362.2399325549777
2500,A1,0.16487254202365875,0.5709773898124695,0.13039973378181458,0.025541142421647022,746.0759860329854
3000,A1,0.17633116245269775,0.591687023639679,0.1550842523574829,0.02552151606822378,1187.049924586987
