window,rms,norm,relative_to_global_output
0,0.000914761854801327,0.001293668756261468,0.009979522787034512
1,0.0009241343359462917,0.0013069233391433954,0.009976619854569435
2,0.0009378475951962173,0.0013263167347759008,0.009963958524167538
3,0.0009417660185135901,0.0013318583369255066,0.00997364241629839
4,0.0009266334236599505,0.0013104575918987393,0.010001923888921738
5,0.0009176737512461841,0.0012977865990251303,0.00999427679926157
6,0.0009060903685167432,0.001281405333429575,0.01000436395406723
7,0.0009129809332080185,0.0012911499943584204,0.009986570104956627
8,0.0009297100477851927,0.001314808614552021,0.009952021762728691
9,0.0009390687337145209,0.0013280437560752034,0.009952740743756294
10,0.0009499415755271912,0.0013434202410280704,0.009962206706404686
11,0.0009448416531085968,0.0013362078461796045,0.009965704753994942
12,0.0009358290117233992,0.0013234621146693826,0.009970815852284431
13,0.000923448649700731,0.001305953599512577,0.009980796836316586
14,0.0009243572712875903,0.0013072387082502246,0.00997257698327303
15,0.000924336607567966,0.001307209488004446,0.009969789534807205
16,0.0009312955662608147,0.0013170507736504078,0.009971043094992638
17,0.000935121439397335,0.00132246152497828,0.009982126764953136
18,0.0009215972386300564,0.0013033353025093675,0.010013298131525517
19,0.0009086610516533256,0.0012850407510995865,0.01002506073564291
20,0.000908756977878511,0.0012851764913648367,0.01001969538629055
21,0.0009043855825439095,0.0012789943721145391,0.01000209804624319
22,0.0009214299498125911,0.0013030987465754151,0.009982618503272533
23,0.0009338802774436772,0.0013207060983404517,0.009958202950656414
24,0.0009289646986871958,0.0013137545902282,0.00999324582517147
25,0.0009166740346699953,0.001296372851356864,0.009984022937715054
26,0.0009177087340503931,0.0012978360755369067,0.009983285330235958
27,0.0009243229287676513,0.001307189930230379,0.009974605403840542
28,0.0009276914061047137,0.001311953761614859,0.00998463574796915
29,0.0005710860132239759,0.0008076376398093998,0.01396408211439848
30,0.0005715745501220226,0.0008083285065367818,0.013943955302238464
31,0.0005715112201869488,0.000808238924946636,0.01402193307876587
32,0.0005708194221369922,0.0008072605705820024,0.01404901035130024
33,0.0005710347322747111,0.0008075649966485798,0.014182252809405327
34,0.0005708644166588783,0.0008073241915553808,0.014195558615028858
35,0.0005709751276299357,0.0008074806537479162,0.01410885900259018
36,0.0005704620270989835,0.0008067551534622908,0.014048092998564243
