trajectory_id,baseline_rel_l2,a1_rel_l2,delta_rel_l2_pct,rel_l2_win,baseline_tke,a1_tke,delta_tke_pct,tke_win,baseline_mvpe,a1_mvpe,delta_mvpe_pct,mvpe_win,mean_delta_pct
3750_0.h5,0.2114458680152893,0.2083229124546051,1.4769527491823051,True,0.4268074929714203,0.4240565896034241,0.6445302421577732,True,0.1683826744556427,0.1642722487449646,2.4411215251013942,True,1.5208681721471577
11400_10.h5,0.1500350534915924,0.15060824155807495,-0.38203609966031304,False,0.24290171265602112,0.23754414916038513,2.205650770039221,True,0.09576200693845749,0.09646356105804443,-0.7326017300763193,False,0.3636709801008629
11400_15.h5,0.1751207560300827,0.1757175773382187,-0.3408055799127905,False,0.21446636319160461,0.21075452864170074,1.7307304020387153,True,0.10406941175460815,0.10779733210802078,-3.582148001569306,False,-0.7307410598144605
8850_10.h5,0.15165336430072784,0.1521805077791214,-0.34759761567058406,False,0.328316867351532,0.3305481970310211,-0.6796268792063095,False,0.086786650121212,0.0888555496931076,-2.3838914959916493,False,-1.1370386636228476
3750_20.h5,0.3153386414051056,0.31318554282188416,0.6827893256682798,True,0.47658321261405945,0.49284934997558594,-3.41307392518228,False,0.2742826044559479,0.2763705849647522,-0.7612515248445764,False,-1.1638453747861923
16500_10.h5,0.15589629113674164,0.15694263577461243,-0.6711799429230848,False,0.20732121169567108,0.2066095769405365,0.3432522650789821,True,0.11225713044404984,0.11598995327949524,-3.3252434127611017,False,-1.2177236968684015
8850_5.h5,0.1151600256562233,0.11580322682857513,-0.5585281599987888,False,0.3769838511943817,0.3770573139190674,-0.01948696859372627,False,0.07715647667646408,0.07954901456832886,-3.1008905472670443,False,-1.2263018919531865
13950_5.h5,0.11321471631526947,0.11420074105262756,-0.870933364009239,False,0.24703563749790192,0.24594472348690033,0.4416018765757439,True,0.08338151127099991,0.0863906517624855,-3.6088821677812106,False,-1.3460712184049017
10125_0.h5,0.11361612379550934,0.11447721719741821,-0.7578971832014825,False,0.3456799387931824,0.341738760471344,1.1401235303378006,True,0.07536137849092484,0.07870419323444366,-4.4357133726281,False,-1.3511623418305938
20325_20.h5,0.21938583254814148,0.22082065045833588,-0.6540157554975863,False,0.19245843589305878,0.187501922249794,2.5753683491530093,True,0.1253882795572281,0.1333850771188736,-6.377627629858111,False,-1.4854250120675625
22875_15.h5,0.1990991085767746,0.20059825479984283,-0.7529648092272354,False,0.1728038638830185,0.16919392347335815,2.089039173397262,True,0.12338829785585403,0.1317172646522522,-6.750208035229009,False,-1.8047112236863274
24150_10.h5,0.19233253598213196,0.19329175353050232,-0.4987286958351521,False,0.2636813223361969,0.26370587944984436,-0.009313179041233082,False,0.1328658014535904,0.139407217502594,-4.923325624380851,False,-1.8104558330857454
25425_15.h5,0.2278110682964325,0.22916296124458313,-0.5934272457699569,False,0.22807595133781433,0.22464635968208313,1.5037059521683052,True,0.14069169759750366,0.15020284056663513,-6.760273087571465,False,-1.9499981270577056
26700_0.h5,0.12963417172431946,0.1307026892900467,-0.8242560981525362,False,0.4185839593410492,0.41761189699172974,0.2322263736168284,True,0.07952786237001419,0.08493152260780334,-6.794675572502993,False,-2.4622350990129003
20325_5.h5,0.10724631696939468,0.10856260359287262,-1.2273490229539255,False,0.36345288157463074,0.365224689245224,-0.4874930865638059,False,0.07831395417451859,0.08279430866241455,-5.721016816379528,False,-2.478619641965753
8850_20.h5,0.22125275433063507,0.22183668613433838,-0.2639206935388898,False,0.3382619023323059,0.345719575881958,-2.2047039581553993,False,0.1492527425289154,0.1570805162191391,-5.244643118505634,False,-2.5710892567333077
