backbone_update,alpha,trajectory_id,windows,rel_l2,tke,mvpe
32500,0.0,10125_0.h5,29,0.05603354796767235,0.18105651438236237,0.0190627109259367
32500,0.0,11400_10.h5,42,0.08491139858961105,0.17214910686016083,0.026097413152456284
32500,0.0,11400_15.h5,42,0.10264619439840317,0.1738460510969162,0.02274136245250702
32500,0.0,13950_5.h5,42,0.06088058277964592,0.25720444321632385,0.020644139498472214
32500,0.0,16500_10.h5,42,0.08751636743545532,0.23127244412899017,0.02773144654929638
32500,0.0,20325_20.h5,42,0.12732714414596558,0.15294118225574493,0.032873399555683136
32500,0.0,20325_5.h5,42,0.0593809075653553,0.23069602251052856,0.019066574051976204
32500,0.0,22875_15.h5,42,0.13163192570209503,0.2087494283914566,0.028538553044199944
32500,0.0,24150_10.h5,42,0.12234240025281906,0.26252809166908264,0.03360617160797119
32500,0.0,25425_15.h5,42,0.1605803519487381,0.27692997455596924,0.035252299159765244
32500,0.0,26700_0.h5,42,0.07912016659975052,0.27124401926994324,0.016107480973005295
32500,0.0,3750_0.h5,42,0.07555179297924042,0.16543741524219513,0.03234650939702988
32500,0.0,3750_20.h5,42,0.15347762405872345,0.23024575412273407,0.059919700026512146
32500,0.0,8850_10.h5,42,0.08815613389015198,0.22126922011375427,0.027285493910312653
32500,0.0,8850_20.h5,42,0.13681386411190033,0.2262279987335205,0.03564593940973282
32500,0.0,8850_5.h5,42,0.06118519604206085,0.2621191143989563,0.020061055198311806
32500,0.5,10125_0.h5,29,0.05137857422232628,0.2225388139486313,0.019328365102410316
32500,0.5,11400_10.h5,42,0.07799147814512253,0.19765663146972656,0.024284282699227333
32500,0.5,11400_15.h5,42,0.09478581696748734,0.2078416794538498,0.019422728568315506
32500,0.5,13950_5.h5,42,0.05603742226958275,0.32249966263771057,0.01765437051653862
32500,0.5,16500_10.h5,42,0.08163746446371078,0.2583036422729492,0.025471031665802002
32500,0.5,20325_20.h5,42,0.12002357840538025,0.18129800260066986,0.027887672185897827
32500,0.5,20325_5.h5,42,0.05488113686442375,0.3461601138114929,0.017405983060598373
32500,0.5,22875_15.h5,42,0.12456771731376648,0.25890418887138367,0.025408875197172165
32500,0.5,24150_10.h5,42,0.1165732592344284,0.28249770402908325,0.03108285926282406
32500,0.5,25425_15.h5,42,0.15329812467098236,0.31937140226364136,0.03200158476829529
32500,0.5,26700_0.h5,42,0.0742870569229126,0.326789915561676,0.013881504535675049
32500,0.5,3750_0.h5,42,0.06718384474515915,0.17190717160701752,0.029651712626218796
32500,0.5,3750_20.h5,42,0.14119745790958405,0.23292206227779388,0.05560124292969704
32500,0.5,8850_10.h5,42,0.08098451793193817,0.23534905910491943,0.027381926774978638
32500,0.5,8850_20.h5,42,0.12686759233474731,0.24926415085792542,0.03314452990889549
32500,0.5,8850_5.h5,42,0.05542253702878952,0.30011603236198425,0.018150467425584793
32500,1.0,10125_0.h5,29,0.04965044930577278,0.211105614900589,0.021434741094708443
32500,1.0,11400_10.h5,42,0.07473696023225784,0.18748754262924194,0.023893894627690315
32500,1.0,11400_15.h5,42,0.09106733649969101,0.20263582468032837,0.018154403194785118
32500,1.0,13950_5.h5,42,0.05411554127931595,0.317945271730423,0.015578201040625572
32500,1.0,16500_10.h5,42,0.07892077416181564,0.24829848110675812,0.024009667336940765
32500,1.0,20325_20.h5,42,0.11632051318883896,0.18243788182735443,0.025524534285068512
32500,1.0,20325_5.h5,42,0.05286543071269989,0.38611939549446106,0.01658862642943859
32500,1.0,22875_15.h5,42,0.12117977440357208,0.27169451117515564,0.024412401020526886
32500,1.0,24150_10.h5,42,0.11381450295448303,0.2788951098918915,0.029652725905179977
32500,1.0,25425_15.h5,42,0.14972275495529175,0.3297154903411865,0.031254857778549194
32500,1.0,26700_0.h5,42,0.071635901927948,0.3765026330947876,0.013046786189079285
32500,1.0,3750_0.h5,42,0.0636708065867424,0.1553918868303299,0.028630129992961884
32500,1.0,3750_20.h5,42,0.13525041937828064,0.21636809408664703,0.05258911848068237
32500,1.0,8850_10.h5,42,0.07784552127122879,0.21327154338359833,0.02850806526839733
32500,1.0,8850_20.h5,42,0.1221780776977539,0.23921097815036774,0.03275464102625847
32500,1.0,8850_5.h5,42,0.053114600479602814,0.27717265486717224,0.017057348042726517
