backbone_update,alpha,trajectory_id,windows,rel_l2,tke,mvpe
30000,0.0,10125_0.h5,29,0.064494289457798,0.16222399473190308,0.04793604090809822
30000,0.0,11400_10.h5,42,0.09028506278991699,0.16600359976291656,0.05341041833162308
30000,0.0,11400_15.h5,42,0.10788481682538986,0.16747541725635529,0.04606420174241066
30000,0.0,13950_5.h5,42,0.06580821424722672,0.19635075330734253,0.03260612115263939
30000,0.0,16500_10.h5,42,0.09172238409519196,0.20769968628883362,0.03931449353694916
30000,0.0,20325_20.h5,42,0.13084442913532257,0.16028445959091187,0.05493906885385513
30000,0.0,20325_5.h5,42,0.06342364102602005,0.18676961958408356,0.03591637313365936
30000,0.0,22875_15.h5,42,0.13601557910442352,0.21337643265724182,0.05408167466521263
30000,0.0,24150_10.h5,42,0.12598487734794617,0.27169090509414673,0.046454958617687225
30000,0.0,25425_15.h5,42,0.16524368524551392,0.2871626019477844,0.06024503335356712
30000,0.0,26700_0.h5,42,0.08194435387849808,0.287099689245224,0.031096329912543297
30000,0.0,3750_0.h5,42,0.08946219831705093,0.14354032278060913,0.07970049232244492
30000,0.0,3750_20.h5,42,0.16381599009037018,0.24165253341197968,0.12850533425807953
30000,0.0,8850_10.h5,42,0.09618519991636276,0.21222791075706482,0.06425753980875015
30000,0.0,8850_20.h5,42,0.1439496874809265,0.21640239655971527,0.07113783806562424
30000,0.0,8850_5.h5,42,0.06841253489255905,0.22980421781539917,0.043710239231586456
30000,0.5,10125_0.h5,29,0.054734934121370316,0.20403966307640076,0.0313330814242363
30000,0.5,11400_10.h5,42,0.07995647192001343,0.19850851595401764,0.03671475127339363
30000,0.5,11400_15.h5,42,0.09669362753629684,0.20875394344329834,0.027426421642303467
30000,0.5,13950_5.h5,42,0.05809096619486809,0.2706901729106903,0.02024310827255249
30000,0.5,16500_10.h5,42,0.08332442492246628,0.24542507529258728,0.026449382305145264
30000,0.5,20325_20.h5,42,0.12162371724843979,0.18974636495113373,0.03881242126226425
30000,0.5,20325_5.h5,42,0.05690593644976616,0.30600088834762573,0.025766078382730484
30000,0.5,22875_15.h5,42,0.12714114785194397,0.2652151882648468,0.04089844226837158
30000,0.5,24150_10.h5,42,0.1185595765709877,0.29597780108451843,0.039470311254262924
30000,0.5,25425_15.h5,42,0.1562962830066681,0.32915374636650085,0.04476785287261009
30000,0.5,26700_0.h5,42,0.07620374858379364,0.3314686715602875,0.021826734766364098
30000,0.5,3750_0.h5,42,0.07327447086572647,0.16557426750659943,0.05413764342665672
30000,0.5,3750_20.h5,42,0.14488768577575684,0.2491462677717209,0.09003929793834686
30000,0.5,8850_10.h5,42,0.08414635807275772,0.23716963827610016,0.044539861381053925
30000,0.5,8850_20.h5,42,0.12984181940555573,0.24789005517959595,0.05056393891572952
30000,0.5,8850_5.h5,42,0.05808661878108978,0.2731941342353821,0.026349347084760666
30000,1.0,10125_0.h5,29,0.050378356128931046,0.2032042145729065,0.020428050309419632
30000,1.0,11400_10.h5,42,0.07537287473678589,0.18987533450126648,0.024910276755690575
30000,1.0,11400_15.h5,42,0.09191637486219406,0.20466303825378418,0.021043013781309128
30000,1.0,13950_5.h5,42,0.05528604984283447,0.2712673246860504,0.017625775188207626
30000,1.0,16500_10.h5,42,0.07945819199085236,0.2414294332265854,0.019475478678941727
30000,1.0,20325_20.h5,42,0.1170494556427002,0.1900661736726761,0.031081384047865868
30000,1.0,20325_5.h5,42,0.05384216830134392,0.35718366503715515,0.020460927858948708
30000,1.0,22875_15.h5,42,0.12281079590320587,0.2772409915924072,0.03231231868267059
30000,1.0,24150_10.h5,42,0.114801324903965,0.29477259516716003,0.03688620775938034
30000,1.0,25425_15.h5,42,0.15173757076263428,0.33634623885154724,0.03342930227518082
30000,1.0,26700_0.h5,42,0.0731787383556366,0.36877012252807617,0.015535004436969757
30000,1.0,3750_0.h5,42,0.0666714459657669,0.16257457435131073,0.03574880585074425
30000,1.0,3750_20.h5,42,0.13662934303283691,0.23324692249298096,0.05940960347652435
30000,1.0,8850_10.h5,42,0.0786769688129425,0.21928322315216064,0.028930503875017166
30000,1.0,8850_20.h5,42,0.12356290966272354,0.24079160392284393,0.0421060286462307
30000,1.0,8850_5.h5,42,0.05421445891261101,0.25333675742149353,0.01712457835674286
