experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio
init,10125_0.h5,29,0.05486628079233492,0.005993499264187288,0.0037769903918230393,0.6935120694272511,0.032785425995172465,0.9672363023215395,0.6935120694272511,1.237235507199188e-05,1.8175024714923018e-05,0.6807338788284164
init,10125_15.h5,42,0.09835108570691327,0.010540465858873587,0.00588470480694759,0.6129380412345998,0.05838137158701112,0.7861783006753882,0.6129380412345998,4.623901399736248e-05,7.957394632849506e-05,0.5810823282092836
init,11400_5.h5,42,0.04984021122332835,0.006539793374638027,0.0031895985181771913,0.7916632352729529,0.02851390270718985,0.9939085275839351,0.7916632352729529,9.126501798446847e-06,1.811573162430563e-05,0.5037887504472601
init,19050_0.h5,42,0.04937215611221389,0.010743005311091274,0.004973777713157311,0.8508088785476391,0.02614403120354401,0.9737429774982441,0.8508088785476391,1.6992825615850642e-05,5.3865737535947917e-05,0.3154663129695437
init,20325_10.h5,42,0.07994559450633829,0.018602579371237233,0.00666637554798574,0.7135377725224084,0.043413766942702194,0.8373849570244134,0.7135377725224084,8.102234333563881e-05,0.00019982966555809624,0.4054570331654951
init,20325_20.h5,42,0.10823749588705275,0.0222630758707715,0.013200253945835079,0.5610896206568247,0.05960708437823965,0.7649724494468376,0.5610896206568247,0.00024806448809109027,0.0004241817234868227,0.5848071106222389
init,21600_15.h5,42,0.10399301874650757,0.02364513002094851,0.009052948395396141,0.6457886848535646,0.05524380340280444,0.7750608178066727,0.6457886848535646,0.0001616206909868899,0.0003878792038515198,0.4166778970928236
init,21600_5.h5,23,0.04527297447228472,0.011392366977528831,0.004109338933911216,0.8788592480992932,0.024014888203041835,1.014932635364654,0.8788592480992932,1.458972327267967e-05,5.150881262857102e-05,0.2832471285619776
init,22875_15.h5,42,0.10804614125727738,0.026078186162320972,0.009033054769387646,0.6791319088463985,0.05556041170449205,0.8209188355646043,0.6791319088463985,0.0001704110679839843,0.0004220973674686106,0.40372454584582784
init,25425_20.h5,42,0.1373708127043392,0.035684457094417026,0.014604615831019775,0.6757894689353576,0.07557452717563394,0.7863437515825398,0.6757894689353576,0.00039472406068794317,0.00085362465711576,0.46240939433690076
init,26700_10.h5,42,0.10847044158974543,0.03257232508441119,0.008537322950989567,0.7036646164068111,0.05682183658560315,0.8366181848496177,0.7036646164068111,0.00021745106961504153,0.0006006664178923474,0.36201635906006907
init,3750_0.h5,42,0.10651426027878699,0.004407023017836077,0.00322467970440291,0.9437386016234699,0.06176872384047481,1.4048896394366885,0.9437386016234699,8.950268973472193e-06,5.139943786729318e-06,1.7413165094491208
init,6300_0.h5,42,0.07897504646203633,0.005151460836850015,0.0038109615285212063,0.5197009126576291,0.04502714743253977,0.7482666494970344,0.5197009126576291,2.0148946356198136e-05,2.523785244039417e-05,0.7983621587369676
init,6300_20.h5,42,0.13621005208681702,0.008814618669355952,0.005929967739499636,0.6926038113609136,0.09119175248503468,0.9204674241998261,0.6926038113609136,2.227210979132314e-05,3.760546922566317e-05,0.5922571968899657
init,7575_20.h5,42,0.13507303006690463,0.010399959463832091,0.007154419976797961,0.6601872366044765,0.08871626869203719,0.8529973055987977,0.6601872366044765,3.520466847155619e-05,6.407075421962819e-05,0.5494654917105872
init,8850_20.h5,42,0.12981022774129686,0.011558482678458973,0.007800968802117053,0.6608544525267794,0.08370899223939622,0.8480373254174196,0.6608544525267794,4.388347078112348e-05,8.16809953771538e-05,0.5372543585995244
