experiment,rel_l2,tke,mvpe,windows,trajectories
LOSS-E0-best,0.16892297565937042,0.5384753346443176,0.13614584505558014,659,16
LOSS-E1-best,0.09958431124687195,0.5918977856636047,0.08495490252971649,659,16
LOSS-E2-best,0.09948957711458206,0.5942630767822266,0.08241122961044312,659,16
LOSS-E3-best,0.0969698578119278,0.6244565844535828,0.0843176394701004,659,16
P0A-N2-2H-last,0.15610644221305847,0.5533620715141296,0.12543639540672302,659,16
MF01-1500,0.1884090155363083,0.6451557874679565,0.16055232286453247,659,16
MF-C02-C0-1500,0.16432732343673706,0.5829281806945801,0.130374014377594,659,16
RW-00-fixed-7500,0.14921846985816956,0.5285965204238892,0.11832522600889206,659,16
RW-01-random-phase-3000,0.2876039147377014,1.0514494180679321,0.2564569413661957,659,16
