experiment,horizon,rel_l2,mvpe,velocity_squared_error,pred_speed_mean,pred_speed_std,target_speed_mean,target_speed_std
LOSS-E0-best,1,0.18031978607177734,0.1137181967496872,0.0011009396985173225,0.15926815569400787,0.11266321688890457,0.15705075860023499,0.118636853992939
LOSS-E0-best,2,0.16481506824493408,0.10354975610971451,0.0008439015364274383,0.1599300056695938,0.1143631562590599,0.15706518292427063,0.11862729489803314
LOSS-E0-best,3,0.15574316680431366,0.0978132113814354,0.00065733736846596,0.15641789138317108,0.11494994908571243,0.15707311034202576,0.11861002445220947
LOSS-E0-best,4,0.15075750648975372,0.08175826817750931,0.0006638174527324736,0.1573202759027481,0.11619704216718674,0.15707175433635712,0.11861182004213333
LOSS-E0-best,5,0.15339411795139313,0.0857599675655365,0.0007228588801808655,0.15829095244407654,0.1168229803442955,0.1570601910352707,0.11861609667539597
LOSS-E0-best,6,0.15526865422725677,0.08739494532346725,0.0007545024272985756,0.15980957448482513,0.1166326105594635,0.15706144273281097,0.11860432475805283
LOSS-E0-best,7,0.15703155100345612,0.08717606216669083,0.0007751266821287572,0.1596195101737976,0.1161898523569107,0.15705525875091553,0.11860621720552444
LOSS-E0-best,8,0.15876474976539612,0.08919156342744827,0.0007936625042930245,0.15936380624771118,0.11607251316308975,0.15705163776874542,0.11861393600702286
LOSS-E0-best,9,0.1594492793083191,0.08924228698015213,0.0007939580827951431,0.15832127630710602,0.11558143049478531,0.15701057016849518,0.1186184212565422
LOSS-E0-best,10,0.16040851175785065,0.09001267701387405,0.0007998970686458051,0.15871135890483856,0.11590687185525894,0.15702053904533386,0.11863715201616287
LOSS-E0-best,11,0.16179119050502777,0.0917123481631279,0.0008172120433300734,0.15950942039489746,0.11612994223833084,0.1570269912481308,0.11864618957042694
LOSS-E0-best,12,0.16325272619724274,0.09317578375339508,0.0008422717219218612,0.16007043421268463,0.11621876060962677,0.15701989829540253,0.11866055428981781
LOSS-E0-best,13,0.16446860134601593,0.09364629536867142,0.0008679950260557234,0.1604643613100052,0.11625014245510101,0.1570630818605423,0.1186748519539833
LOSS-E0-best,14,0.1659395396709442,0.0952528715133667,0.0008911793702282012,0.16090470552444458,0.1162554994225502,0.15705685317516327,0.11865032464265823
LOSS-E0-best,15,0.1664031445980072,0.09568153321743011,0.0008820042130537331,0.16011464595794678,0.11540515720844269,0.15705694258213043,0.11863084882497787
LOSS-E0-best,16,0.16711688041687012,0.09457551687955856,0.0008664260385558009,0.15898115932941437,0.11418434977531433,0.15708261728286743,0.11862760782241821
LOSS-E0-best,17,0.1650250256061554,0.0921715721487999,0.000824434740934521,0.15726709365844727,0.11510825902223587,0.157064288854599,0.11861063539981842
LOSS-E0-best,18,0.17068414390087128,0.09233017265796661,0.0009160330519080162,0.15631981194019318,0.11459840834140778,0.15705251693725586,0.11862937361001968
LOSS-E0-best,19,0.1849062293767929,0.10515603423118591,0.001162749482318759,0.15630842745304108,0.11498089879751205,0.15704819560050964,0.11866152286529541
LOSS-E0-best,20,0.24056078493595123,0.14319640398025513,0.0022426703944802284,0.1600542962551117,0.11561812460422516,0.15703967213630676,0.1186535581946373
LOSS-E1-best,1,0.10549739003181458,0.07381012290716171,0.0003206034598406404,0.15270811319351196,0.11477535963058472,0.15705075860023499,0.118636853992939
LOSS-E1-best,2,0.08735290914773941,0.04457512125372887,0.0002605990448500961,0.15494535863399506,0.11647689342498779,0.15706518292427063,0.11862729489803314
LOSS-E1-best,3,0.08613478392362595,0.03705732524394989,0.00027826553559862077,0.15563488006591797,0.11617203801870346,0.15707311034202576,0.11861002445220947
LOSS-E1-best,4,0.08783721178770065,0.03710184246301651,0.0003021570446435362,0.15706884860992432,0.11729974299669266,0.15707175433635712,0.11861182004213333
LOSS-E1-best,5,0.08932257443666458,0.03698578476905823,0.000322282052366063,0.15753419697284698,0.11803711950778961,0.1570601910352707,0.11861609667539597
LOSS-E1-best,6,0.08927546441555023,0.03697200492024422,0.00033218454336747527,0.15779231488704681,0.11737287789583206,0.15706144273281097,0.11860432475805283
LOSS-E1-best,7,0.09024909883737564,0.03658329322934151,0.0003450564981903881,0.15780040621757507,0.11720454692840576,0.15705525875091553,0.11860621720552444
LOSS-E1-best,8,0.09155645221471786,0.03739209100604057,0.0003635438624769449,0.15774661302566528,0.11726435273885727,0.15705163776874542,0.11861393600702286
LOSS-E1-best,9,0.09285062551498413,0.037406906485557556,0.0003757865051738918,0.15770858526229858,0.11725214123725891,0.15701057016849518,0.1186184212565422
LOSS-E1-best,10,0.09450415521860123,0.038703106343746185,0.0003862199082504958,0.15798784792423248,0.11717516928911209,0.15702053904533386,0.11863715201616287
LOSS-E1-best,11,0.0961398333311081,0.03977157920598984,0.00039689562981948256,0.15805403888225555,0.11686843633651733,0.1570269912481308,0.11864618957042694
LOSS-E1-best,12,0.09723201394081116,0.039584044367074966,0.00040612570592202246,0.1579797863960266,0.11670069396495819,0.15701989829540253,0.11866055428981781
LOSS-E1-best,13,0.09849932789802551,0.03982824832201004,0.0004188901511952281,0.15763212740421295,0.116566501557827,0.1570630818605423,0.1186748519539833
LOSS-E1-best,14,0.10031461715698242,0.041027944535017014,0.0004369863891042769,0.157969132065773,0.11697905510663986,0.15705685317516327,0.11865032464265823
LOSS-E1-best,15,0.1029980406165123,0.04382338002324104,0.000459568778751418,0.1581891030073166,0.11714181303977966,0.15705694258213043,0.11863084882497787
LOSS-E1-best,16,0.10699554532766342,0.0463893860578537,0.0004839312459807843,0.15734657645225525,0.11699975281953812,0.15708261728286743,0.11862760782241821
LOSS-E1-best,17,0.11061113327741623,0.04786160960793495,0.0005111013888381422,0.1563430279493332,0.11636900901794434,0.157064288854599,0.11861063539981842
LOSS-E1-best,18,0.11308614909648895,0.049311429262161255,0.0005296879098750651,0.1588943749666214,0.11627048254013062,0.15705251693725586,0.11862937361001968
LOSS-E1-best,19,0.11531952768564224,0.05217099189758301,0.0005529670161195099,0.16001111268997192,0.11719676107168198,0.15704819560050964,0.11866152286529541
LOSS-E1-best,20,0.11630501598119736,0.05273951590061188,0.0005717471358366311,0.15936091542243958,0.1169985830783844,0.15703967213630676,0.1186535581946373
LOSS-E2-best,1,0.09343964606523514,0.05260995402932167,0.0002834373153746128,0.1556372493505478,0.11538869142532349,0.15705075860023499,0.118636853992939
LOSS-E2-best,2,0.0855085477232933,0.03830648958683014,0.00025223687407560647,0.1569894254207611,0.1166524663567543,0.15706518292427063,0.11862729489803314
LOSS-E2-best,3,0.0850890502333641,0.03330840915441513,0.0002751723222900182,0.15733961760997772,0.11626964807510376,0.15707311034202576,0.11861002445220947
LOSS-E2-best,4,0.08866792917251587,0.03913739323616028,0.00030360359232872725,0.1574220508337021,0.11680745333433151,0.15707175433635712,0.11861182004213333
LOSS-E2-best,5,0.09098097681999207,0.03937440738081932,0.0003249369910918176,0.1573898196220398,0.11733683198690414,0.1570601910352707,0.11861609667539597
LOSS-E2-best,6,0.09054800122976303,0.039491645991802216,0.00033486870233900845,0.15759432315826416,0.11666010320186615,0.15706144273281097,0.11860432475805283
LOSS-E2-best,7,0.09148109704256058,0.038789600133895874,0.00035049853613600135,0.1574048399925232,0.11625437438488007,0.15705525875091553,0.11860621720552444
LOSS-E2-best,8,0.0928640216588974,0.039366427809000015,0.00036997601273469627,0.15734940767288208,0.11627643555402756,0.15705163776874542,0.11861393600702286
LOSS-E2-best,9,0.09386660903692245,0.038344115018844604,0.00038127589505165815,0.15727247297763824,0.11641870439052582,0.15701057016849518,0.1186184212565422
LOSS-E2-best,10,0.09532246738672256,0.03953191637992859,0.00039244230720214546,0.157444566488266,0.11631958186626434,0.15702053904533386,0.11863715201616287
LOSS-E2-best,11,0.09697742760181427,0.040729496628046036,0.0004040486237499863,0.15743836760520935,0.11593981832265854,0.1570269912481308,0.11864618957042694
LOSS-E2-best,12,0.09818713366985321,0.04068975895643234,0.00041280945879407227,0.15730619430541992,0.11577750742435455,0.15701989829540253,0.11866055428981781
LOSS-E2-best,13,0.09954390674829483,0.041232798248529434,0.00042593819671310484,0.15682055056095123,0.1156873032450676,0.1570630818605423,0.1186748519539833
LOSS-E2-best,14,0.10105593502521515,0.04213448241353035,0.00044302368769422174,0.15686331689357758,0.1158142164349556,0.15705685317516327,0.11865032464265823
LOSS-E2-best,15,0.1038537472486496,0.04505569487810135,0.00046270087477751076,0.15724706649780273,0.11623652279376984,0.15705694258213043,0.11863084882497787
LOSS-E2-best,16,0.10848484933376312,0.04816107824444771,0.0004919241182506084,0.15613208711147308,0.11599744111299515,0.15708261728286743,0.11862760782241821
