experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
residual,1,0.03922621704276337,0.005251512898956551,0.6411858317719911,1.1666267300585613,0.057389650952412934,491,12
residual,2,0.04981515841996706,0.006595364266642874,0.6762268638131419,1.09309314007068,0.07335820015491715,491,12
residual,3,0.058533166746908394,0.007698894331746895,0.6826164443884567,0.9731920991438593,0.08712435805297868,491,12
residual,4,0.06609170047558753,0.008637552304212535,0.6979094124862207,0.8395186161469316,0.09817287646986662,491,12
residual,5,0.06980464255734249,0.009090918800928556,0.7209009257228014,0.771234415359308,0.10356661303436025,491,12
residual,6,0.0727339480959325,0.009450704177436377,0.7399572419156704,0.7216061145269408,0.10804998292223604,491,12
residual,7,0.07557012022400622,0.009795339459708948,0.7614506961631047,0.6755948122052754,0.11166958720283066,491,12
residual,8,0.07807713831110691,0.010092154311083668,0.7783582071041083,0.6331834071841408,0.11441065624308308,491,12
residual,9,0.07992605771059537,0.010284436489160864,0.7896578103024738,0.5959121228133623,0.11607568278101714,491,12
residual,10,0.0817234327289267,0.010471704308555263,0.7997640556639286,0.5671719468303585,0.11766727692998935,491,12
residual,11,0.08354752432247844,0.010670383384171549,0.7992327369129398,0.5544175137209102,0.1193701926135315,491,12
residual,12,0.08537870498393228,0.010870714677285532,0.7939800453861712,0.5577547791494226,0.12095791778670677,491,12
residual,13,0.08723293149885586,0.011087296517261085,0.7886311208047537,0.5708875854188302,0.12223183595226349,491,12
residual,14,0.08911667666913897,0.011315355486420856,0.7788231472318113,0.585549743352882,0.12460212479181867,491,12
residual,15,0.09101410879000421,0.011545923907751679,0.7709859512805097,0.599722519365976,0.12596104212471168,491,12
residual,16,0.09248930161689946,0.011719642538691292,0.7630173239162638,0.6052400538959332,0.12665285358603523,491,12
residual,17,0.09415819827068697,0.011923090611258427,0.7661506158813786,0.602897176498133,0.12764473485021988,491,12
residual,18,0.09558433638288959,0.012075394671154207,0.7654090654798907,0.5908576549601472,0.12841137841437408,491,12
residual,19,0.09721014147559273,0.012279781728106561,0.7712974398856651,0.5737155651370731,0.12977055028362827,491,12
residual,20,0.09873121756092354,0.012451949297382988,0.7778182430862668,0.5559564594789579,0.13213938107908063,491,12
