experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
residual,10125_0.h5,29,0.04218021035194397,0.45665839314460754,0.032734714448451996
residual,11400_15.h5,42,0.08328298479318619,0.4629036486148834,0.07620525360107422
residual,13950_5.h5,42,0.05014752224087715,0.5352168083190918,0.03480861335992813
residual,20325_20.h5,42,0.10539399832487106,0.4603537917137146,0.09656234085559845
residual,20325_5.h5,42,0.050314534455537796,0.5646576881408691,0.03361176326870918
residual,22875_15.h5,42,0.10755813866853714,0.5338316559791565,0.07783421874046326
residual,25425_15.h5,42,0.13143226504325867,0.5787051320075989,0.09400917589664459
residual,26700_0.h5,42,0.06740263104438782,0.6752828359603882,0.03716837614774704
residual,3750_0.h5,42,0.04901241511106491,0.3581187129020691,0.04741101339459419
residual,3750_20.h5,42,0.11579078435897827,0.5858976244926453,0.12139192223548889
residual,8850_20.h5,42,0.11052127182483673,0.5295182466506958,0.10604480654001236
residual,8850_5.h5,42,0.04865313693881035,0.4843291640281677,0.03401418402791023
