experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio
control_final,10125_0.h5,29,0.04188542731661441,0.004560119512739086,0.0029212935424846524,0.427628267201728,0.022516586515600574,0.7792850078734782,0.427628267201728,1.4142420881143067e-05,1.8175024714923018e-05,0.7781238872006105
control_final,10125_15.h5,42,0.08723699826807348,0.00938589462936573,0.005169179507663375,0.480094342651646,0.05176248205487786,0.6993656765979442,0.480094342651646,5.876601546887422e-05,7.957394632849506e-05,0.7385082452273752
control_final,11400_5.h5,42,0.042830008948065844,0.005588418480002441,0.0028128417799649463,0.5152274156175011,0.022644469916010088,0.8837711922421405,0.5152274156175011,1.2943864188653619e-05,1.811573162430563e-05,0.7145096017699342
control_final,19050_0.h5,42,0.049193501839302343,0.010093689970092103,0.006094194646291868,0.5172364133446896,0.02315101720980481,1.0110125827276366,0.5172364133446896,3.76752085751892e-05,5.3865737535947917e-05,0.699428065011571
control_final,20325_10.h5,42,0.07766415568793826,0.017992308658442726,0.006719171865507414,0.5172749607920429,0.0403044051817289,0.8303698198291461,0.5172749607920429,0.00014355312296200493,0.00019982966555809624,0.7183774369089855
control_final,20325_20.h5,42,0.1029898936012201,0.02110212624804597,0.012751733783259335,0.45664113488997105,0.05603694832558635,0.7345278530812159,0.45664113488997105,0.0003210819941322422,0.0004241817234868227,0.756944432902274
control_final,21600_15.h5,42,0.09959733980174794,0.02270657540413092,0.008572054517669727,0.48800924117332345,0.0529755549343624,0.7422523954095107,0.48800924117332345,0.0002474243388119934,0.0003878792038515198,0.6378901894072863
control_final,21600_5.h5,23,0.04585954186172699,0.010872736685172916,0.005685702604905654,0.5223963624585982,0.021003710528402216,1.0804436525322243,0.5223963624585982,3.780564114128473e-05,5.150881262857102e-05,0.7339645239718575
control_final,22875_15.h5,42,0.10492159262005242,0.025319549648076225,0.008880822946664639,0.5285550245567519,0.053340643011881135,0.8016827542836592,0.5285550245567519,0.0002671238738775739,0.0004220973674686106,0.6328489454448887
control_final,25425_20.h5,42,0.1309492586401745,0.03408080434116018,0.013814933774376382,0.5857091884217227,0.07184329477467555,0.7512405264617175,0.5857091884217227,0.0005082250919930386,0.00085362465711576,0.5953730222721508
control_final,26700_10.h5,42,0.1047947577403384,0.03153464765944921,0.008085988746978209,0.5498690172183579,0.054558311551375124,0.8114402769019603,0.5498690172183579,0.0003552870375777956,0.0006006664178923474,0.5914880988759901
control_final,3750_0.h5,42,0.04870831829846277,0.00216374352742042,0.0012535902262316777,0.35463267221230216,0.028004781408490206,0.6448004721800982,0.35463267221230216,3.922253133350383e-06,5.139943786729318e-06,0.7630926127007734
control_final,6300_0.h5,42,0.047463122937945065,0.0032470443188728692,0.0020781413400118086,0.20885696612508192,0.026998449672483427,0.45044908297553476,0.20885696612508192,2.238138359640606e-05,2.523785244039417e-05,0.8868180701692264
control_final,6300_20.h5,42,0.10783947676358244,0.006903290826353778,0.004815174566257651,0.5274457624885729,0.07116558325573698,0.7369323069821001,0.5274457624885729,2.703879838749755e-05,3.760546922566317e-05,0.7190123921933518
control_final,7575_20.h5,42,0.11174123918290463,0.008511207064629779,0.006055486112115517,0.5215887763527982,0.07197355970332137,0.7166113230860968,0.5215887763527982,4.391301554254792e-05,6.407075421962819e-05,0.6853831530064163
control_final,8850_20.h5,42,0.11075231938613783,0.009735533812990594,0.006855740906849337,0.5355570715376474,0.06969612009685486,0.7364484883412362,0.5355570715376474,5.5584788614805235e-05,8.16809953771538e-05,0.6805106666262825
