step,control_rel_l2_raw,candidate_rel_l2_raw,delta_rel_l2_pct_candidate_vs_control,control_tke_raw,candidate_tke_raw,delta_tke_pct_candidate_vs_control,control_mvpe_raw,candidate_mvpe_raw,delta_mvpe_pct_candidate_vs_control,control_final_est,candidate_final_est
0,0.09797063041478396,0.09797063041478396,0.0,0.7003257811069489,0.7003257811069489,0.0,0.08762361314147711,0.08762361314147711,0.0,78.78243331868228,78.78243331868228
1000,0.0898816654458642,0.09190374910831452,2.249717617513678,0.572295506298542,0.5342602178454399,-6.646092453023864,0.08577088583260775,0.08595269601792097,0.2119719104546014,80.20785255857587,80.38850274158183
2000,0.08801965340971947,0.08725127410143614,-0.872963342296553,0.5108826458454132,0.5210114791989326,1.9826144880607863,0.08108048401772976,0.08003533631563187,-1.2890249913522334,80.83118139482087,80.80884597341272
3000,0.08694801926612854,0.08592158127576113,-1.180519118239722,0.506374616920948,0.5181967735290527,2.3346661173481187,0.07968563847243786,0.07887786086648703,-1.0137053820936952,80.96194699959997,80.94254698399375
4000,0.08542511146515608,0.08518885020166636,-0.27657120890744863,0.4992197036743164,0.49982116371393204,0.12048002816972662,0.07832619920372963,0.07800058601424098,-0.41571427287275386,81.12779741722325,81.13958044684867
5000,0.08523608725517988,0.08482468295842409,-0.4826644558708193,0.49438655376434326,0.49590020030736925,0.3061666081936959,0.07784369820728898,0.07761705536395311,-0.29115117672383467,81.18210081874426,81.18658707933824
5055,0.0852330069988966,0.08482468985021115,-0.47905988895914936,0.49445741027593615,0.4959333136677742,0.2984894879044127,0.07784482501447201,0.077619051001966,-0.2900308562117454,81.1816400787425,81.18637282148931
