update,stage,lr,rel_l2,tke,mvpe,mean_t_neural_s,elapsed_seconds
7500,A,1e-05,0.12514840066432953,0.5101026892662048,0.10803617537021637,0.024913881260985423,4886.609732149998
15000,A,1e-05,0.11147855967283249,0.48416104912757874,0.08723168075084686,0.024226722092514686,9777.780561414002
20000,A,1e-05,0.11092390865087509,0.4855593144893646,0.09119055420160294,0.02430956451743122,13052.985336910999
25000,A,1e-05,0.10615083575248718,0.47113314270973206,0.08220908790826797,0.02424559650527501,16327.189839763
30000,A,1e-05,0.10598938167095184,0.4743732810020447,0.09033749252557755,0.024864060476476456,19676.985960439
31000,B,3e-06,0.10093735158443451,0.4709317088127136,0.07828515022993088,0.024308023919558615,20365.932451692002
32500,B,3e-06,0.09993461519479752,0.4692927300930023,0.07577798515558243,0.02427396673434633,21379.718421854
35000,B,3e-06,0.09997811913490295,0.4714410901069641,0.0757487416267395,0.024286113122991487,23117.033557202005
