experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
dense_stride1_5k,10125_0.h5,29,0.0394430086016655,0.40982183814048767,0.026813603937625885
dense_stride1_5k,10125_15.h5,42,0.0842958316206932,0.46236956119537354,0.08164342492818832
dense_stride1_5k,11400_5.h5,42,0.04143773391842842,0.4955272078514099,0.02945536933839321
dense_stride1_5k,19050_0.h5,42,0.048233192414045334,0.49273210763931274,0.0297305379062891
dense_stride1_5k,20325_10.h5,42,0.0753491073846817,0.5058906674385071,0.06771744787693024
dense_stride1_5k,20325_20.h5,42,0.09931641817092896,0.4437110424041748,0.09244628250598907
dense_stride1_5k,21600_15.h5,42,0.09730621427297592,0.4765946865081787,0.08945828676223755
dense_stride1_5k,21600_5.h5,23,0.04503006115555763,0.502859354019165,0.026812950149178505
dense_stride1_5k,22875_15.h5,42,0.10279987752437592,0.5159080028533936,0.07336606085300446
dense_stride1_5k,25425_20.h5,42,0.1273861676454544,0.5795093774795532,0.13257458806037903
dense_stride1_5k,26700_10.h5,42,0.10104742646217346,0.5394200086593628,0.08483840525150299
dense_stride1_5k,3750_0.h5,42,0.0447455495595932,0.3225233554840088,0.04299382492899895
dense_stride1_5k,6300_0.h5,42,0.04283587262034416,0.18359138071537018,0.03226405009627342
dense_stride1_5k,6300_20.h5,42,0.10139356553554535,0.48840564489364624,0.10149388015270233
dense_stride1_5k,7575_20.h5,42,0.10592380911111832,0.4900008738040924,0.10435904562473297
dense_stride1_5k,8850_20.h5,42,0.10535450279712677,0.5083975791931152,0.10122548043727875
