step,rel_l2_raw,tke_raw,mvpe_raw,source
0,0.0804204195737838,0.449158251285553,0.071116916835308,frozen_current80
1000,0.0822679666802287,0.48194095194339753,0.07478639734908939,dense_stride1_continuation
2000,0.08223608415573835,0.4830131888389587,0.07544860690832138,dense_stride1_continuation
3000,0.08139040544629098,0.4691587761044502,0.07306478582322598,dense_stride1_continuation
4000,0.08094448670744896,0.4640508100390434,0.0723090037703514,dense_stride1_continuation
5000,0.08067406117916107,0.4635047256946564,0.07197514604777097,dense_stride1_continuation
