experiment,trajectory,window_start,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2
dense_stride1_5k,10125_0.h5,0,1,0.02530285960937676,0.0022911167800664925,0.752678215176564,1.3051968396121063,0.035077977139779656
dense_stride1_5k,10125_0.h5,0,2,0.02939730922201422,0.002663254790796506,0.6269126046237963,1.1415503585138838,0.032115876524224825
dense_stride1_5k,10125_0.h5,0,3,0.03433998535349292,0.0031111363170504766,0.6505519781039394,0.950655010750001,0.04508551962037909
dense_stride1_5k,10125_0.h5,0,4,0.037132948710764314,0.0033634885211389757,0.7354840075616816,0.8669958923537365,0.043643306444176
dense_stride1_5k,10125_0.h5,0,5,0.03755390608070327,0.003403588029815956,0.8171789350649067,0.8868519028138272,0.03645830220575271
dense_stride1_5k,10125_0.h5,0,6,0.03681777572020849,0.0033364632879537815,0.8366386582017192,0.9693846753677827,0.035682828221350674
dense_stride1_5k,10125_0.h5,0,7,0.036718884821438244,0.0033323902820122445,0.860200436314791,1.0456135957604005,0.047504487314054794
dense_stride1_5k,10125_0.h5,0,8,0.03787025112831676,0.0034396899637188145,0.8887285460110731,1.037095853490069,0.05919632914660942
dense_stride1_5k,10125_0.h5,0,9,0.03880563438109655,0.0035290693876551746,0.9434392658466912,1.0422491400007108,0.07093909883947441
dense_stride1_5k,10125_0.h5,0,10,0.040380011347668575,0.0036761388150387624,0.9362603866028871,1.0351293808946365,0.07202812484601849
dense_stride1_5k,10125_0.h5,0,11,0.03981604198099554,0.0036254832468659124,0.8691410613411928,1.0652004798457049,0.07245613052181793
dense_stride1_5k,10125_0.h5,0,12,0.042031293783767354,0.0038314786964773334,0.8790498073897938,1.0152526340725192,0.07915097489258673
dense_stride1_5k,10125_0.h5,0,13,0.041639710708826404,0.0037966634575071017,0.8670331829203667,0.9963075331640924,0.06107598661105131
dense_stride1_5k,10125_0.h5,0,14,0.04242126023825884,0.0038699895022570987,0.8034563305021625,0.9339806167552478,0.05325009891325011
dense_stride1_5k,10125_0.h5,0,15,0.04288071968386134,0.00391639675141211,0.6893176618961933,0.8957338141546561,0.05147165739228296
dense_stride1_5k,10125_0.h5,0,16,0.043514017611307014,0.003978668481809964,0.7177970881115397,0.8579462435126275,0.049614175056566324
dense_stride1_5k,10125_0.h5,0,17,0.04544734309779219,0.004158701403606198,0.8011967256511118,0.8117613527314999,0.051600154340585104
dense_stride1_5k,10125_0.h5,0,18,0.04836141886951724,0.0044283335113049545,0.8263542788632088,0.7611461914200303,0.06385144099016518
dense_stride1_5k,10125_0.h5,0,19,0.05000746232732796,0.004579380535828642,0.8305315140339143,0.7108071382633991,0.06706037861014406
dense_stride1_5k,10125_0.h5,0,20,0.05075203004854063,0.004649464328798469,0.8832451790708986,0.7899627741870289,0.0573269159981859
dense_stride1_5k,10125_0.h5,20,1,0.021873790339297833,0.0020056174106769624,0.5311836229224438,0.9828240747717878,0.029298799425759647
dense_stride1_5k,10125_0.h5,20,2,0.030338091733196005,0.0027857904195294943,0.698176357577403,0.8091786470602262,0.046426384961001446
dense_stride1_5k,10125_0.h5,20,3,0.032735062665790376,0.003009118660176843,0.6817238463794169,0.7040685861673691,0.05865107724410629
dense_stride1_5k,10125_0.h5,20,4,0.03584594851455327,0.0032975405274777566,0.7520907592327319,0.617664440474469,0.06732425858799222
dense_stride1_5k,10125_0.h5,20,5,0.03857664084739249,0.003552759548989344,0.889779534473092,0.563849597821304,0.0843700616816308
dense_stride1_5k,10125_0.h5,20,6,0.036963865241699354,0.0034072022475384687,0.810862247741829,0.6107982493031963,0.07355103555231864
dense_stride1_5k,10125_0.h5,20,7,0.03811678888616613,0.0035169639791615835,0.7986398788983511,0.6016950042132073,0.05825258041277262
dense_stride1_5k,10125_0.h5,20,8,0.03852685567467762,0.003557269733298129,0.7426368321387695,0.6100105682796696,0.05927927302372739
dense_stride1_5k,10125_0.h5,20,9,0.03913834129329284,0.003615973235929111,0.7439456058522474,0.5688973434917031,0.055284181489093434
dense_stride1_5k,10125_0.h5,20,10,0.04050055637267486,0.003743458410150776,0.7716307665697075,0.5146369724478672,0.06466867599815733
