experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
dense_stride1_5k,1,0.03903710952169476,0.005346896031872138,0.5691334339898716,1.169458239856524,0.06489860781529908,640,16
dense_stride1_5k,2,0.04948363984372718,0.006726462690627657,0.5916542013049726,1.0922837100470644,0.08223509000165588,640,16
dense_stride1_5k,3,0.05778106022247691,0.007833428477782334,0.6011389796602509,0.9729913628079387,0.09629866057974835,640,16
dense_stride1_5k,4,0.0651987023007576,0.00882771588955768,0.6229665415836024,0.851687525544585,0.10823572622654717,640,16
dense_stride1_5k,5,0.06887795801150047,0.009313284152833796,0.6455547950095497,0.7916862396530147,0.11320882844621871,640,16
dense_stride1_5k,6,0.07190532409859089,0.00968762830891416,0.6653075226194968,0.7437673770284625,0.11642196210466889,640,16
dense_stride1_5k,7,0.07464875986146355,0.010024355264931452,0.6873819839420452,0.7014010226067455,0.11933138932667857,640,16
dense_stride1_5k,8,0.07714182499515594,0.010338431945013877,0.7092592981936123,0.6587795256245036,0.12296074321702695,640,16
dense_stride1_5k,9,0.07919339531165259,0.010586283943695466,0.7263134612863096,0.6251232770675402,0.12581871266268468,640,16
dense_stride1_5k,10,0.08112347917347033,0.010824434450096619,0.7397362242784061,0.5974124326555165,0.12891176227912465,640,16
dense_stride1_5k,11,0.08291376176391856,0.011051678781694177,0.7418388667597121,0.5835248343157471,0.13212584922449744,640,16
dense_stride1_5k,12,0.08471518934053787,0.011274607456705929,0.7361200602141201,0.5756768556438209,0.133838624981367,640,16
dense_stride1_5k,13,0.08664439503670725,0.011524237844058349,0.7283251801558448,0.5765547652948648,0.13615149733447446,640,16
dense_stride1_5k,14,0.08838809310770042,0.01173856507499706,0.7180242553580365,0.5829983518780577,0.13821852444800314,640,16
dense_stride1_5k,15,0.09012043954194862,0.011946020772372265,0.7102967510133569,0.5911641098962905,0.1399629683470109,640,16
dense_stride1_5k,16,0.0917996958371021,0.012153712861967871,0.7059505775025261,0.5946174750285482,0.14200362975265474,640,16
dense_stride1_5k,17,0.09365339852612638,0.012392690542737103,0.7092422462481798,0.5920413895168973,0.14406193758932648,640,16
dense_stride1_5k,18,0.09560554078892172,0.012632523998340004,0.7175129256811397,0.5812959151673731,0.14543208374399605,640,16
dense_stride1_5k,19,0.09783876437289467,0.012910742336110401,0.7288064863715293,0.5675854840272209,0.1478715530137658,640,16
dense_stride1_5k,20,0.10018463895579184,0.013203314495189833,0.7419920978660306,0.5440439464594913,0.1496764629052281,640,16
