experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
random_temporal_phase,1,0.03907473535316789,0.008191839293526371,0.003706654589484001,0.006357889557734761,0.5680641499273937,1.0683585880903255,0.08120438820611678,0.009447827402173427,0.8594261169433594,0.7781185669728542
random_temporal_phase,2,0.04951928682023217,0.010539368014189126,0.004239748273084615,0.008032861991769707,0.5906105005928033,1.0144821890905866,0.08086266579202424,0.008412819037875961,0.8106178283691406,0.7621310552020135
random_temporal_phase,3,0.05782422838647483,0.012474941601279425,0.0047569008677939666,0.00944066400793268,0.6007816092974722,0.9153234110021193,0.08405343885912438,0.007572533763557612,0.7791793823242188,0.7888294007021223
random_temporal_phase,4,0.06523367894537209,0.014201684576756647,0.00523665806956253,0.010703047055750104,0.6233379610053355,0.8052860067290828,0.0868433756448526,0.006581166524993743,0.7510841369628907,0.8046199271229
random_temporal_phase,5,0.06891586231836314,0.014996762933832864,0.005613426066689789,0.011322840869229233,0.6460489151559604,0.7475186354721932,0.08804857272183357,0.006303003493038488,0.7340469360351562,0.8102181459070923
random_temporal_phase,6,0.07194844912361661,0.015544146765351746,0.005929833089901738,0.011764000576693471,0.6654506261733456,0.7184823011788399,0.08717304021838972,0.005921032738502441,0.7101043701171875,0.7896358923663053
random_temporal_phase,7,0.07470037461649362,0.016083678352154577,0.006189298870968022,0.012185896147795857,0.6874110151809262,0.6892175999997839,0.08894691798528635,0.00579854825575248,0.7038986206054687,0.8015579735428103
random_temporal_phase,8,0.07719835981301987,0.016581516431694695,0.006420130436389063,0.012573081603067929,0.7095592934820787,0.6637456221915398,0.0911610749910013,0.0057057910741766206,0.6982009887695313,0.8149471048856967
random_temporal_phase,9,0.07925658877291546,0.016962767517610014,0.006613501221823783,0.012873885976416564,0.7266820110389198,0.6451699952437897,0.09276539743533184,0.00562054319763404,0.697052001953125,0.8250506341333261
random_temporal_phase,10,0.08117534586268071,0.017328317988846067,0.006805623582905739,0.013164101121511656,0.7402585716639656,0.6249944246826916,0.09448086115208473,0.005553869801852117,0.6943031311035156,0.8330860006370642
random_temporal_phase,11,0.08295212111469781,0.017662864868937256,0.00703099035294112,0.013442686128923213,0.742345851942108,0.6071943552125896,0.09620647332738329,0.005537635945902911,0.6919876098632812,0.8350955589415298
random_temporal_phase,12,0.08475706340392797,0.017952206514104254,0.007297663954143881,0.013702875937420185,0.7364717768042215,0.5848055613981442,0.09806309305775766,0.0055691459235150745,0.6894134521484375,0.8344227578028118
random_temporal_phase,13,0.08669117667829586,0.01826970936701409,0.007572490046806697,0.013984364230528123,0.7284265951293782,0.5640081789406356,0.09990760685399573,0.00564891306456254,0.6848213195800781,0.834960964339938
random_temporal_phase,14,0.08844295820733905,0.018501632058980668,0.007883563248622188,0.014220776320949003,0.7181407882748221,0.5440799174393891,0.10215040479677992,0.005777308863719821,0.6847160339355469,0.834177700825893
random_temporal_phase,15,0.09017181574604807,0.018725216695570937,0.008166431474299908,0.014445143532006264,0.7105710826030585,0.523611521449904,0.10459362691449739,0.005942040281148954,0.6938667297363281,0.8328993655131377
random_temporal_phase,16,0.09185004328132029,0.018970111825257437,0.008440842793010826,0.01468184201180313,0.7062726400277429,0.5038056440993939,0.10756155852229492,0.006254661938814158,0.6999931335449219,0.8540518422774976
random_temporal_phase,17,0.09370658255594402,0.01929895013101295,0.008706565735049424,0.014970867761390142,0.7094829959914198,0.4765134003679323,0.11009645819757127,0.006420382417111562,0.7072265625,0.8585947428171025
random_temporal_phase,18,0.09566131424666233,0.019621506457953252,0.008923440787458404,0.01524190459172963,0.7177727964924958,0.444343707402553,0.1130859449688963,0.006573604564242629,0.7107170104980469,0.8730365190358025
random_temporal_phase,19,0.09789865457122834,0.020022949155347712,0.009126994975786892,0.015559892836483144,0.729059752907578,0.41257428349689707,0.11557008039302286,0.00678633100782651,0.7082931518554687,0.8727195178404026
random_temporal_phase,20,0.10024802253080178,0.020459523591475313,0.009348742642637055,0.015905833750363346,0.7423530555146095,0.38033466495136403,0.11688906028992566,0.006980292722508302,0.7005279541015625,0.8888404051646553
