experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
stage2_residual_step26000,1,0.03994664953705639,0.005416559422537115,0.6384258583066796,1.1811667168063449,0.05903312395876637,491,12
stage2_residual_step26000,2,0.04982396014944599,0.006640692130948812,0.669599634639619,1.0995691404233678,0.07399880860413001,491,12
stage2_residual_step26000,3,0.05775963212128231,0.007637597092534873,0.6695310725877086,0.9724219573246623,0.08611608227504798,491,12
stage2_residual_step26000,4,0.0647284375517798,0.008503400661758405,0.6834365042849637,0.8323849477062558,0.09598114538111381,491,12
stage2_residual_step26000,5,0.06815950331348657,0.008928054399030532,0.705734598218006,0.7585545118719886,0.10090763763811757,491,12
stage2_residual_step26000,6,0.07079759458275947,0.009246550280942253,0.7291310884076673,0.6999096012321728,0.10473397546766364,491,12
stage2_residual_step26000,7,0.07334307919944287,0.009551134271047942,0.7511402959691341,0.6522886423509191,0.1078981648821777,491,12
stage2_residual_step26000,8,0.07561889353584461,0.009810367054287646,0.7686684928450309,0.6052617716790822,0.1103530775885113,491,12
stage2_residual_step26000,9,0.07728545066415368,0.009971260597849165,0.7802482082929374,0.5618289010856712,0.11196931729779933,491,12
stage2_residual_step26000,10,0.07889866208444231,0.010126505643818652,0.7918715512135381,0.5276616061805774,0.11351161127838828,491,12
stage2_residual_step26000,11,0.08058193854533932,0.010311241093898575,0.7926525827416959,0.5149821824098246,0.11558034450336267,491,12
stage2_residual_step26000,12,0.08235864065142588,0.010519850966703369,0.7848854595325856,0.5182606818608438,0.11766791207625846,491,12
stage2_residual_step26000,13,0.08426670251463295,0.01076364479197891,0.7769317459793187,0.533145649480074,0.11936957939899537,491,12
stage2_residual_step26000,14,0.08618093898746179,0.011009388475370061,0.7671316589057978,0.5512344426821095,0.12169481802165998,491,12
stage2_residual_step26000,15,0.08808128608303523,0.011246750803778066,0.7602279431751056,0.5697362208722389,0.12321134699646419,491,12
stage2_residual_step26000,16,0.08962161821380252,0.011434078321611661,0.7525262504802467,0.5813286530972921,0.12376977961880176,491,12
stage2_residual_step26000,17,0.09138833717766039,0.01165078212859022,0.758022135956174,0.5847115171611864,0.12496748671194262,491,12
stage2_residual_step26000,18,0.09292319568787079,0.011805171701856926,0.7571320989475351,0.5732905769772542,0.12555183009897,491,12
stage2_residual_step26000,19,0.09484025877784692,0.01203746717070269,0.7636493369850957,0.5642491378351272,0.12686394600584455,491,12
stage2_residual_step26000,20,0.09662628244703805,0.012242800812196404,0.7713185568398808,0.5518350779072322,0.12975438473783554,491,12
