horizon,raw_fluct_rms,centered_fluct_rms,target_fluct_rms,raw_fluct_amp_ratio,centered_fluct_amp_ratio,raw_fluct_cosine,centered_fluct_cosine,raw_fluct_rel_l2,centered_fluct_rel_l2,raw_energy_share,centered_energy_share,target_energy_share,precenter_frame_rel_l2,reconstructed_frame_rel_l2,mean_raw_deviation_rms
1,0.03969571384720205,0.01543551566470269,0.014494911625252332,2.7385964725749767,1.064892016161844,0.13747886821062522,0.34762570904214074,2.7833275683127345,1.1805199370371031,0.051246415672332686,0.08332827978165444,0.06333146857857636,0.29254122284145473,0.1182365314998036,0.11924677342827465
2,0.03950684424340771,0.013573063181717148,0.01374576273562162,2.8741107353051585,0.9874361607117718,0.12725536870850424,0.34758865981185366,2.9204486771959743,1.1351594372501477,0.050759921614130725,0.06443263200190104,0.05695424536275359,0.29356366039962484,0.11343496644603597,0.10846073472179872
3,0.03973731075178196,0.012516371560551024,0.013140583732530542,3.0240141199670716,0.9524973787553878,0.142315708949956,0.41502066859371345,3.0469545403639766,1.0567114358263776,0.05135387357899097,0.054790722204393315,0.052049640124134273,0.29389503981122594,0.10430827487689516,0.0472729664099483
4,0.038915429394557555,0.009951341323989712,0.01273457398806824,3.0558878083412675,0.781442813345284,0.1344620637796332,0.47252251033756193,3.0849065357627334,0.9338919802818056,0.04925155151024551,0.03463485515385174,0.0488829331542252,0.2925492966674528,0.10256933042988052,0.02431650966099622
5,0.03897513224148579,0.009039632721700368,0.012533962557870131,3.1095618852804963,0.7212110838821958,0.11864358550504259,0.4497876567272228,3.15143078228766,0.9334675895093445,0.04940278784330245,0.02857930753653962,0.04735493025113839,0.29548215947711454,0.10557719457182002,0.02003429130093081
6,0.039014324151697595,0.008721671001900891,0.012376626204976576,3.1522584188581337,0.7046888915812906,0.11072106968303119,0.4340882524170481,3.1997953514491146,0.9406338793758233,0.04950219292512121,0.0266041587832217,0.04617351795594358,0.2971725743667373,0.1079885659775333,0.022411159941440828
7,0.038705832813274624,0.008873812760297601,0.012350026788581646,3.1340687332808486,0.718525790446219,0.10395953938212618,0.3990250295101157,3.18916198101022,0.9710096611585289,0.048722447372800286,0.027540425906903317,0.045975262176060475,0.2970959663303196,0.1137205603887003,0.021688509143438988
8,0.038712468552923714,0.00880370797978749,0.012429658475007438,3.1145239131681417,0.7082823713531059,0.09883472538042985,0.3947264698312766,3.175627965363496,0.9708286756136256,0.048739154786978885,0.027106995754955534,0.046570061018165514,0.2980333620459781,0.11513952988965276,0.02147394818133987
9,0.03869008676861402,0.008612013209888617,0.012489277897865662,3.0978641907892785,0.6895525330059604,0.09462041375803383,0.3952825958572916,3.163940606518581,0.9645446932733621,0.04868281356435931,0.025939374860260104,0.04701788328500091,0.29843845208372644,0.11521280160871733,0.022565776580582696
10,0.038618202178312896,0.008604333887124444,0.012504590459237545,3.0883220289541264,0.6880940175668167,0.09024162656569891,0.38490295326952606,3.159168015161641,0.9714805906625835,0.048502080286392656,0.025893135260946522,0.04713324713352859,0.2986061227646617,0.11643294803428948,0.02239417004916698
11,0.03850841222344132,0.008645015934762915,0.012482195516870652,3.0850672200570997,0.6925877681597373,0.08419709856738299,0.36707647317661773,3.1619823425570472,0.985501124302659,0.048226693475526244,0.026138564140468775,0.04696457289382703,0.2988278170100936,0.11843236143882103,0.021742699684010935
