floor,mult,sps,coverage,mean_width_uv
0.0,0.5,25.805345147646126,0.4011029826930462,0.009335377253592014
0.0,1.0,39.48008512377056,0.7020875155817873,0.01867075450718403
0.0,1.5,43.64145727552775,0.8739532748872202,0.02800622396171093
0.0,2.0,42.745870499904505,0.9515623892146614,0.03734150901436806
0.0,2.5,39.98376847718433,0.981654329020853,0.04667690768837929
0.0,3.0,36.86167529227124,0.9925379424785734,0.05601244792342186
0.0,4.0,31.238977129860572,0.9982620413221769,0.07468301802873611
0.0025,0.5,41.2524317399467,0.6803057043977214,0.0143353883177042
0.0025,1.0,45.0605672284722,0.8573753902991296,0.023670747876167297
0.0025,1.5,43.60584115766839,0.9437261875251027,0.033006127923727036
0.0025,2.0,40.40029235677498,0.9782435876905312,0.04234148561954498
0.0025,2.5,36.99585781183079,0.990979753450879,0.051676828414201736
0.0025,3.0,33.86166312588885,0.9958567905570074,0.06101221963763237
0.0025,4.0,28.605400502683654,0.9988277173118852,0.07968319952487946
0.005,0.5,44.575788147120136,0.8038581075906216,0.019335368648171425
0.005,1.0,43.97450353065412,0.9147782476375029,0.0286707766354084
0.005,1.5,40.85117280473104,0.9665829499435354,0.038006190210580826
0.005,2.0,37.274699268212046,0.9865893118157418,0.047341495752334595
0.005,2.5,33.95599782128878,0.9941029498578425,0.05667677894234657
0.005,3.0,31.02456517226939,0.997142554510455,0.06601225584745407
0.005,4.0,26.18511288240844,0.9991256442569766,0.08468297123908997
0.0075,0.5,43.64940080392311,0.863598897346895,0.024335399270057678
0.0075,1.0,41.297146523442926,0.941679301902971,0.03367072716355324
0.0075,1.5,37.72996514281971,0.9771187244746975,0.04300610348582268
0.0075,2.0,34.223403309918574,0.9905529576011004,0.05234154686331749
0.0075,2.5,31.11435851473059,0.995706766223114,0.06167693808674812
0.0075,3.0,28.407578381527276,0.9978520956584651,0.07101226598024368
0.0075,4.0,23.966653238609148,0.9993105843187224,0.08968283236026764
