all81 windows 65926 stride 1 updates 8723
[load] missing=0 unexpected=0
step 500 0.0005220021703280509
step 1000 0.0002934086078312248
step 1500 0.00040965148946270347
step 2000 0.0002501659619156271
step 2500 0.00020182767184451222
step 3000 0.00016527807747479528
step 3500 0.00018132162222173065
step 4000 0.00011705050565069541
step 4500 0.0002235002611996606
step 5000 0.0001256575487786904
step 5500 0.00014375275350175798
step 6000 0.0001648780598770827
step 6500 0.00016058734036050737
step 7000 0.00014673933037556708
step 7500 0.00016666256124153733
step 8000 0.00014880235539749265
step 8500 0.0002405844716122374
saved /runs/cno_final_all81.pt
DONE_ALL81
