update,reference_update,stage,lr,mse,tke,rel,mvpe,vorticity,elapsed_seconds
12365,7500,A,1e-05,8.322046051034704e-05,0.5028562396764755,0.10691533982753754,0.10059966892004013,3.8958680306677707e-05,11195.876925334334
24730,15000,A,1e-05,0.00011513886056491174,0.4374177008867264,0.10683184862136841,0.09432196617126465,4.8221670112980064e-05,18543.584199294448
32974,20000,A,1e-05,0.0002303156943526119,0.4526884853839874,0.10562961548566818,0.07719936221837997,8.716170123079792e-05,23443.388094723225
41217,25000,A,1e-05,0.00017800297428038903,0.44573840498924255,0.08900962397456169,0.06222113408148289,7.764057227177545e-05,28343.623435541987
49461,30000,A,1e-05,0.00016481417696923018,0.3947923481464386,0.09350157529115677,0.08273942023515701,6.923077489773277e-05,33239.404422193766
51109,31000,B,3e-06,0.0001801889702619519,0.3875558525323868,0.09770409762859344,0.08004629611968994,7.121403723431285e-05,34220.13834051788
53582,32500,B,3e-06,7.252834984683432e-05,0.45665059983730316,0.08671872690320015,0.06320115178823471,3.5503255276125856e-05,35691.54234856367
