trajectory_id,base_tke,candidate_tke,tke_degradation
10125_0.h5,0.20170924067497253,0.2651926279067993,0.314727213385934
11400_10.h5,0.21248163282871246,0.196921706199646,-0.0732295136380553
11400_15.h5,0.20893175899982452,0.19316904246807098,-0.07544432980036697
13950_5.h5,0.3214229643344879,0.3444332778453827,0.07158889085146125
16500_10.h5,0.24040134251117706,0.24309004843235016,0.011184238378569411
20325_20.h5,0.1524142324924469,0.1783541440963745,0.17019349951595308
20325_5.h5,0.2819175124168396,0.3628941476345062,0.2872352076444815
22875_15.h5,0.188695028424263,0.24737046658992767,0.31095381079006734
24150_10.h5,0.24053393304347992,0.282711923122406,0.17535151712378894
25425_15.h5,0.2485729306936264,0.305817186832428,0.2302915928096645
26700_0.h5,0.32912102341651917,0.36689767241477966,0.1147804190875168
3750_0.h5,0.22679145634174347,0.1726100891828537,-0.23890391654457177
3750_20.h5,0.29331129789352417,0.22858107089996338,-0.22068780663559273
8850_10.h5,0.2549063265323639,0.2160853147506714,-0.15229520706604993
8850_20.h5,0.2876223027706146,0.2572944462299347,-0.1054433409667368
8850_5.h5,0.305680513381958,0.300167441368103,-0.018035405505113844
