trajectory_id,path,windows,base_rel_l2,base_tke,base_mvpe,gate_rel_l2,gate_tke,gate_mvpe
10125_0.h5,/data/p0ab_real_h5_20260830/10125_0.h5,29,0.06721258163452148,0.20170924067497253,0.030516356229782104,0.06721258163452148,0.20170924067497253,0.030516356229782104
11400_10.h5,/data/p0ab_real_h5_20260830/11400_10.h5,42,0.09770671278238297,0.21248163282871246,0.04662218317389488,0.09770671278238297,0.21248163282871246,0.04662218317389488
11400_15.h5,/data/p0ab_real_h5_20260830/11400_15.h5,42,0.11589784920215607,0.20893175899982452,0.04590770974755287,0.11589784920215607,0.20893175899982452,0.04590770974755287
13950_5.h5,/data/p0ab_real_h5_20260830/13950_5.h5,42,0.06812959164381027,0.3214229643344879,0.029075704514980316,0.06812959164381027,0.3214229643344879,0.029075704514980316
16500_10.h5,/data/p0ab_real_h5_20260830/16500_10.h5,42,0.09954548627138138,0.24040134251117706,0.042923081666231155,0.09954548627138138,0.24040134251117706,0.042923081666231155
20325_20.h5,/data/p0ab_real_h5_20260830/20325_20.h5,42,0.1391632854938507,0.1524142324924469,0.05092431232333183,0.1391632854938507,0.1524142324924469,0.05092431232333183
20325_5.h5,/data/p0ab_real_h5_20260830/20325_5.h5,42,0.06531598418951035,0.2819175124168396,0.031596966087818146,0.06531598418951035,0.2819175124168396,0.031596966087818146
22875_15.h5,/data/p0ab_real_h5_20260830/22875_15.h5,42,0.14216628670692444,0.188695028424263,0.05056222528219223,0.14216628670692444,0.188695028424263,0.05056222528219223
24150_10.h5,/data/p0ab_real_h5_20260830/24150_10.h5,42,0.13499456644058228,0.24053393304347992,0.03940512239933014,0.13499456644058228,0.24053393304347992,0.03940512239933014
25425_15.h5,/data/p0ab_real_h5_20260830/25425_15.h5,42,0.17300672829151154,0.2485729306936264,0.05955957993865013,0.17300672829151154,0.2485729306936264,0.05955957993865013
26700_0.h5,/data/p0ab_real_h5_20260830/26700_0.h5,42,0.08856040984392166,0.32912102341651917,0.02797156572341919,0.08856040984392166,0.32912102341651917,0.02797156572341919
3750_0.h5,/data/p0ab_real_h5_20260830/3750_0.h5,42,0.09786675870418549,0.22679145634174347,0.059887856245040894,0.09786675870418549,0.22679145634174347,0.059887856245040894
3750_20.h5,/data/p0ab_real_h5_20260830/3750_20.h5,42,0.1733977496623993,0.29331129789352417,0.0922076627612114,0.1733977496623993,0.29331129789352417,0.0922076627612114
8850_10.h5,/data/p0ab_real_h5_20260830/8850_10.h5,42,0.10409356653690338,0.2549063265323639,0.0500953234732151,0.10409356653690338,0.2549063265323639,0.0500953234732151
8850_20.h5,/data/p0ab_real_h5_20260830/8850_20.h5,42,0.15344402194023132,0.2876223027706146,0.06232661008834839,0.15344402194023132,0.2876223027706146,0.06232661008834839
8850_5.h5,/data/p0ab_real_h5_20260830/8850_5.h5,42,0.07368624210357666,0.305680513381958,0.03489795699715614,0.07368624210357666,0.305680513381958,0.03489795699715614
