update,total_loss,mse,tke,rel,mvpe,vorticity,lr,sampler_epoch,sampler_offset
1,0.029293883591890335,0.0001382882910547778,0.44372934103012085,0.09649103879928589,0.07519346475601196,5.957797111477703e-05,3e-06,0,8
100,0.024675875902175903,0.00014134845696389675,0.367158979177475,0.08513468503952026,0.060940805822610855,5.77393475396093e-05,3e-06,0,800
200,0.02657489664852619,0.00011733276915038005,0.4260561466217041,0.07134326547384262,0.0471106581389904,4.950381116941571e-05,3e-06,0,1600
300,0.02827483043074608,0.00010666800517356023,0.43192964792251587,0.09386768937110901,0.07095308601856232,4.595276550389826e-05,3e-06,0,2400
400,0.028641225770115852,0.0001502168452134356,0.42137083411216736,0.10335727035999298,0.08027814328670502,6.124441279098392e-05,3e-06,0,3200
500,0.02997991442680359,0.00024052805383689702,0.4404628872871399,0.10077028721570969,0.07066129148006439,9.535057324683294e-05,3e-06,0,4000
600,0.032551899552345276,0.0003908475046046078,0.43739768862724304,0.12845464050769806,0.10503873229026794,0.00014143520093057305,3e-06,0,4800
700,0.028480879962444305,0.0002407976280665025,0.39008909463882446,0.11694164574146271,0.09446060657501221,8.874102786649019e-05,3e-06,0,5600
800,0.030245354399085045,0.00017426465637981892,0.4408668875694275,0.10893601179122925,0.08636733889579773,7.661737618036568e-05,3e-06,0,6400
900,0.02810891717672348,0.00011153191007906571,0.4343985915184021,0.08790281414985657,0.06704093515872955,5.0598122470546514e-05,3e-06,0,7200
1000,0.03107912465929985,0.00012316259380895644,0.4571978449821472,0.1124260425567627,0.1027710884809494,5.835498450323939e-05,3e-06,0,8000
