update,rel_l2,tke,mvpe,point,h1_squared_error,h2_squared_error,h3_squared_error,h4_squared_error,h5_squared_error,h6_squared_error,h7_squared_error,h8_squared_error,h9_squared_error,h10_squared_error,h11_squared_error,h12_squared_error,h13_squared_error,h14_squared_error,h15_squared_error,h16_squared_error,h17_squared_error,h18_squared_error,h19_squared_error,h20_squared_error,h1_h15_squared_error,h1_h15_fraction,h16_h18_squared_error,h16_h18_fraction,h19_fraction,h20_fraction,h19_h20_squared_error,h19_h20_fraction,h1_delta_vs_b0,h2_delta_vs_b0,h3_delta_vs_b0,h4_delta_vs_b0,h5_delta_vs_b0,h6_delta_vs_b0,h7_delta_vs_b0,h8_delta_vs_b0,h9_delta_vs_b0,h10_delta_vs_b0,h11_delta_vs_b0,h12_delta_vs_b0,h13_delta_vs_b0,h14_delta_vs_b0,h15_delta_vs_b0,h16_delta_vs_b0,h17_delta_vs_b0,h18_delta_vs_b0,h19_delta_vs_b0,h20_delta_vs_b0,h19_h20_delta_vs_b0
0,0.10470876097679138,0.4801611602306366,0.07796500623226166,90.63765210919308,324.2564202667173,253.3868874661176,327.3149841173184,299.6501954743938,319.2325621361866,342.4545530826222,371.82721350422,385.2550526843792,388.4802388064705,396.8619422097388,407.03410539692976,420.03409076965016,445.2965196041452,496.9050896974002,560.1693727090544,509.0044946588277,480.191284213079,629.987128255645,1050.165085331318,1474.4189132432682,5738.159227925344,0.5806721432979348,1619.1829071275515,0.16385296603438362,0.10627129479926814,0.14920359586841345,2524.583998574586,0.2554748906676816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.10225046426057816,0.46801963448524475,0.07469525933265686,90.85749159659463,327.2348234089698,254.2951742306903,314.08304965037837,292.30486286463025,308.9389789461554,329.4994613624142,354.13399604065154,368.97868804226357,374.76433749687806,383.58277164699626,392.0404208885237,401.10392231308424,418.5222891809797,453.65681222732246,499.15133469945107,469.7003920247941,469.39284005154934,655.7178789859698,1043.1833903584231,1456.6826106321364,5472.290922999389,0.5719984537368109,1594.811111062313,0.16669974282542913,0.10904012499428452,0.15226167844347555,2499.8660009905598,0.2613018034377601,2.978403142252489,0.9082867645726935,-13.231934466940004,-7.345332609763545,-10.2935831900312,-12.955091720208031,-17.693217463568487,-16.276364642115652,-13.715901309592425,-13.279170562742536,-14.993684508406034,-18.930168456565923,-26.774230423165477,-43.24827747007771,-61.018038009603345,-39.3041026340336,-10.79844416152963,25.73075073032487,-6.981694972894957,-17.736302611131805,-24.717997584026307
1000,0.10229802131652832,0.4752326011657715,0.07723924517631531,90.73870569517608,313.045764977102,249.15913122860067,296.95340309786314,291.5235359816959,309.93165850288506,334.45317096338306,365.55152749375327,379.94034573252833,383.50653373704023,391.0846321952266,398.9568082826506,406.4695634708456,424.8452233166409,467.97769963091224,528.2739734756867,499.17700612022776,478.5780230286293,621.9707435689762,996.6664521908039,1358.731718802713,5541.672972086814,0.583530744231047,1599.7257727178333,0.16844898199904101,0.10494764298190096,0.14307263078801108,2355.398170993517,0.24802027376991204,-11.210655289615318,-4.227756237516928,-30.36158101945523,-8.126659492697911,-9.300903633301516,-8.001382119239167,-6.275686010466757,-5.314706951850894,-4.9737050694302525,-5.777310014512182,-8.077297114279133,-13.564527298804535,-20.451296287504306,-28.92739006648793,-31.895399233367698,-9.827488538599937,-1.6132611844496978,-8.016384686668744,-53.498633140514244,-115.68719444055523,-169.18582758106913
