update,stage,point_score,rel_l2,tke,mvpe,source_stage_a_update,elapsed_seconds
0,B,90.63765210919308,0.10470876097679138,0.4801611602306366,0.07796500623226166,,
500,B,90.85749159659463,0.10225046426057816,0.46801963448524475,0.07469525933265686,28000,446.76946055097505
1000,B,90.73870569517608,0.10229802131652832,0.4752326011657715,0.07723924517631531,28000,923.3690464969259
