update,stage,point_score,rel_l2,tke,mvpe,source_stage_a_update,elapsed_seconds
0,B,90.44212800905576,0.11120006442070007,0.4829474985599518,0.08237661421298981,,
500,B,90.57427964241231,0.10805431753396988,0.47753024101257324,0.0806659683585167,15000,449.26081076893024
1000,B,90.52751961107326,0.10725698620080948,0.4814852774143219,0.08169500529766083,15000,886.119799772976
1500,B,90.53116680025511,0.10784076154232025,0.4813242256641388,0.08100196719169617,15000,1341.7377696500625
2000,B,90.55200294630443,0.10667980462312698,0.4832986891269684,0.07939427345991135,15000,1801.9825456829276
