update,total_loss,mse,tke,rel,mvpe,vorticity,lr,sampler_epoch,sampler_offset
1,0.03127158060669899,0.00017829168064054102,0.46454161405563354,0.10832364857196808,0.08837573230266571,6.712926551699638e-05,3e-06,0,8
100,0.026397572830319405,0.00016362131282221526,0.38895702362060547,0.09296369552612305,0.06983887404203415,6.36529439361766e-05,3e-06,0,800
200,0.02798830345273018,0.00014074885984882712,0.4409754276275635,0.0801256075501442,0.05563203990459442,5.4498443205375224e-05,3e-06,0,1600
300,0.02948867157101631,0.00011986662138951942,0.4475838243961334,0.09931706637144089,0.076031893491745,5.0361762987449765e-05,3e-06,0,2400
400,0.030065909028053284,0.0001701068104011938,0.4389721155166626,0.11021663248538971,0.08625395596027374,6.696994387311861e-05,3e-06,0,3200
500,0.03118506446480751,0.00026782878558151424,0.4532243013381958,0.10732170939445496,0.07774502038955688,0.00010243950237054378,3e-06,0,4000
600,0.034495189785957336,0.00043153410661034286,0.46108198165893555,0.13594065606594086,0.11844293773174286,0.00015274030738510191,3e-06,0,4800
700,0.03005264140665531,0.00027229965780861676,0.40595269203186035,0.12599799036979675,0.1068071722984314,9.699547081254423e-05,3e-06,0,5600
800,0.03149990364909172,0.0001896693283924833,0.45590949058532715,0.11509615182876587,0.09471169114112854,8.090506889857352e-05,3e-06,0,6400
900,0.029045775532722473,0.00012760823301505297,0.4444844722747803,0.09352162480354309,0.07093329727649689,5.50591284991242e-05,3e-06,0,7200
1000,0.032306008040905,0.00013766279153060168,0.4713522791862488,0.11891907453536987,0.11036975681781769,6.306722207227722e-05,3e-06,0,8000
1100,0.02993401326239109,0.0001863302750280127,0.4184546172618866,0.12154451757669449,0.09887784719467163,7.541535160271451e-05,3e-06,0,8800
1200,0.029536843299865723,0.00019049609545618296,0.45497119426727295,0.08723829686641693,0.05385756492614746,8.184471516869962e-05,3e-06,0,9600
1300,0.03275546804070473,0.00047736248234286904,0.4442712068557739,0.12066669017076492,0.09595172107219696,0.00016013688582461327,3e-06,0,10400
1400,0.030316008254885674,0.0003235712356399745,0.43573662638664246,0.10412439703941345,0.06595464050769806,0.00011792131408583373,3e-06,0,11200
1500,0.031599946320056915,0.00029100404935888946,0.4698382616043091,0.10039696097373962,0.07423277199268341,0.00010091635340359062,3e-06,0,12000
1600,0.030809005722403526,0.00014598887355532497,0.4903191924095154,0.08219872415065765,0.06144298240542412,6.592142744921148e-05,3e-06,0,12800
1700,0.029296999797225,0.00018114299746230245,0.4272386431694031,0.10624421387910843,0.07278035581111908,7.705974712735042e-05,3e-06,0,13600
1800,0.030679401010274887,0.00032457965426146984,0.4464530050754547,0.10000863671302795,0.06908419728279114,0.00011937018280150369,3e-06,0,14400
1900,0.030729906633496284,0.00024934677639976144,0.43999552726745605,0.11083795130252838,0.08088227361440659,0.00010248192120343447,3e-06,0,15200
2000,0.030003320425748825,0.00024723727256059647,0.4203334450721741,0.1162932887673378,0.08116500824689865,9.962938202079386e-05,3e-06,0,16000
